AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
10.0,10.0,11.0,3.0,121.0,13.0,79.0,27.0,3.0,53.0,4.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,9.0,5.0,80.0,116.0,0.0,6.0,0.0,74.0,0.0,2746,249,1968,330,1579,531,0.0,0.0,0.0,673,1060,382,678,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,10.0,0.0,3.0,11,0.0,167.0,151.0,1.3299999999999998,289,289,298,87,3,17988a9347634e529a6ba0ba0eae10b06d4dbefd,2017-11-17 13:42:53-08:00,0.0
10.0,10.0,11.0,3.0,121.0,13.0,79.0,27.0,3.0,53.0,4.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,9.0,5.0,80.0,116.0,0.0,6.0,0.0,74.0,0.0,2745,249,1967,330,1579,531,0.0,0.0,0.0,673,1060,382,678,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,10.0,0.0,3.0,11,0.0,167.0,151.0,1.3299999999999998,289,289,298,87,3,9509cccf98902e4b4ccea1869d464357a817fcb4,2017-12-12 12:39:40-08:00,0.0
10.0,10.0,11.0,3.0,121.0,13.0,79.0,27.0,3.0,53.0,4.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,9.0,5.0,83.0,119.0,0.0,6.0,0.0,77.0,0.0,2859,256,2057,343,1650,548,0.0,0.0,0.0,709,1118,400,718,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,10.0,0.0,3.0,11,0.0,167.0,151.0,1.3299999999999998,306,306,315,90,3,59c70f3e92925c520ebfa82dec2405e995697774,2018-02-09 20:51:29-08:00,0.0
10.0,10.0,11.0,3.0,121.0,13.0,79.0,27.0,3.0,53.0,4.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,9.0,5.0,83.0,119.0,0.0,6.0,0.0,77.0,0.0,2860,256,2058,343,1651,548,0.0,0.0,0.0,709,1118,400,718,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,10.0,0.0,3.0,11,0.0,167.0,151.0,1.3299999999999998,307,307,316,90,3,0f57b076dde45f12e46adb3a7d094de8dc2ed47d,2018-02-12 19:30:56-08:00,0.0
10.0,10.0,12.0,3.0,122.0,13.0,80.0,27.0,3.0,53.0,4.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,9.0,5.0,89.0,125.0,0.0,6.0,0.0,83.0,0.0,2975,263,2136,356,1713,578,0.0,0.0,0.0,736,1156,414,742,0.0,0.0,0.0,0.0,0.0,40.0,40.0,44.0,10.0,0.0,3.0,12,0.0,167.0,151.0,1.31,317,317,327,96,3,a0a9ca635a437aa53a9fe9a8705fdebbc47e4655,2018-03-04 10:34:33-08:00,0.0
10.0,10.0,14.0,3.0,121.0,13.0,79.0,27.0,3.0,53.0,4.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,9.0,5.0,98.0,134.0,0.0,6.0,0.0,92.0,0.0,3216,278,2323,383,1868,617,0.0,0.0,0.0,776,1224,437,787,0.0,0.0,0.0,0.0,0.0,40.0,40.0,48.0,12.0,0.0,3.0,12,0.0,167.0,151.0,1.3,342,342,360,107,3,b2d400947e0ae92a0cce785de59da70074e8307b,2018-03-26 18:57:23-07:00,0.0
10.0,10.0,14.0,3.0,122.0,13.0,80.0,27.0,3.0,53.0,4.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,9.0,5.0,98.0,134.0,0.0,6.0,0.0,92.0,0.0,3240,280,2345,385,1886,617,0.0,0.0,0.0,782,1234,440,794,0.0,0.0,0.0,0.0,0.0,40.0,40.0,48.0,12.0,0.0,3.0,12,0.0,167.0,151.0,1.3,347,347,365,107,3,9dd3bf557875fed7688d580018eaa2c9b5a02829,2018-06-25 12:09:00-07:00,0.0
10.0,10.0,14.0,3.0,122.0,13.0,80.0,27.0,3.0,53.0,4.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,9.0,5.0,98.0,134.0,0.0,6.0,0.0,92.0,0.0,3240,280,2345,385,1886,617,0.0,0.0,0.0,782,1234,440,794,0.0,0.0,0.0,0.0,0.0,40.0,40.0,48.0,12.0,0.0,3.0,12,0.0,167.0,151.0,1.3,347,347,365,107,3,0cc1daf76e0a78daa1d5c2a4d2e00c936ab272c9,2018-08-01 12:01:59-07:00,0.0
10.0,10.0,15.0,3.0,123.0,13.0,81.0,27.0,3.0,53.0,4.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,9.0,5.0,101.0,137.0,0.0,6.0,0.0,95.0,0.0,3433,299,2504,395,2007,632,0.0,0.0,0.0,851,1355,464,891,0.0,0.0,0.0,0.0,0.0,40.0,40.0,54.0,12.0,0.0,3.0,13,0.0,167.0,151.0,1.29,382,382,416,110,3,e18ba6c593343e5c7090dadac5b46218726955e8,2018-09-25 14:37:25-07:00,0.0
10.0,10.0,15.0,3.0,123.0,13.0,81.0,27.0,3.0,53.0,4.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,9.0,5.0,101.0,137.0,0.0,6.0,0.0,95.0,0.0,3433,299,2504,395,2007,632,0.0,0.0,0.0,851,1355,464,891,0.0,0.0,0.0,0.0,0.0,40.0,40.0,54.0,12.0,0.0,3.0,13,0.0,167.0,151.0,1.29,382,382,416,110,3,1ec90db6a4e930558049ef6c01e080f68e82df34,2019-06-17 13:59:24-07:00,0.0
10.0,10.0,15.0,3.0,123.0,13.0,81.0,27.0,3.0,53.0,4.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,9.0,5.0,101.0,137.0,0.0,6.0,0.0,95.0,0.0,3433,299,2504,395,2007,632,0.0,0.0,0.0,851,1355,464,891,0.0,0.0,0.0,0.0,0.0,40.0,40.0,54.0,12.0,0.0,3.0,13,0.0,167.0,151.0,1.29,382,382,416,110,3,a7c4cb27edd5e43719615d7480f2244a4ae7f0a8,2019-08-09 19:44:27+08:00,0.0
10.0,10.0,15.0,3.0,123.0,13.0,81.0,27.0,3.0,53.0,4.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,9.0,5.0,101.0,137.0,0.0,6.0,0.0,95.0,0.0,3433,299,2504,395,2007,632,0.0,0.0,0.0,851,1355,464,891,0.0,0.0,0.0,0.0,0.0,40.0,40.0,54.0,12.0,0.0,3.0,13,0.0,167.0,151.0,1.29,382,382,416,110,3,528f49598d7ca0d8ee3a624b3e242a5fcd290ac0,2019-08-14 10:41:21+08:00,0.0
