AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.2,1.2,1.2,1.0,18.8,3.2,11.2,4.2,1.0,11.6,1.0,0.0,,1.4,0.2,,,,2.2,0.8,3.6,15.6,0.0,0.0,0.0,3.6,,65.6,13.2,37.4,17.2,22.4,15.4,,,,20.8,27.4,15.4,12.0,,,,,,1.8,1.8,1.8,1.0,,1.0,0.8,,29.2,16.0,0.32799999999999996,4.8,4.8,4.8,3.8,average,,4b3a973f6b7a7b1012bd4dcc73c72bd52e413436,2017-06-26 16:32:08-07:00,0.0
1.0,1.0,1.0,1.0,22.0,3.0,9.0,6.0,1.0,17.0,1.0,0.0,,1.0,0.0,,,,1.0,0.0,3.0,15.0,0.0,0.0,0.0,3.0,,70.0,14.0,35.0,17.0,18.0,13.0,,,,18.0,22.0,14.0,8.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,40.0,0.0,0.31,5.0,5.0,5.0,4.0,median,,4b3a973f6b7a7b1012bd4dcc73c72bd52e413436,2017-06-26 16:32:08-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,3.0,4b3a973f6b7a7b1012bd4dcc73c72bd52e413436,2017-06-26 16:32:08-07:00,0.0
1.2,1.2,1.2,1.0,18.8,3.2,11.2,4.2,1.0,11.6,1.0,0.0,,1.4,0.2,,,,2.2,0.8,3.6,15.6,0.0,0.0,0.0,3.6,,65.6,13.2,37.4,17.2,22.4,15.4,,,,20.8,27.4,15.4,12.0,,,,,,1.8,1.8,1.8,1.0,,1.0,0.8,,29.2,16.0,0.32799999999999996,4.8,4.8,4.8,3.8,average,,880346e5b74dc94b0829f26d3bc556116c30b750,2017-06-27 10:10:31-07:00,0.0
1.0,1.0,1.0,1.0,22.0,3.0,9.0,6.0,1.0,17.0,1.0,0.0,,1.0,0.0,,,,1.0,0.0,3.0,15.0,0.0,0.0,0.0,3.0,,70.0,14.0,35.0,17.0,18.0,13.0,,,,18.0,22.0,14.0,8.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,40.0,0.0,0.31,5.0,5.0,5.0,4.0,median,,880346e5b74dc94b0829f26d3bc556116c30b750,2017-06-27 10:10:31-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,3.0,880346e5b74dc94b0829f26d3bc556116c30b750,2017-06-27 10:10:31-07:00,0.0
1.2,1.2,1.2,1.0,18.8,3.2,11.2,4.2,1.0,11.6,1.0,0.0,,1.4,0.2,,,,2.2,0.8,3.6,15.6,0.0,0.0,0.0,3.6,,65.6,13.2,37.4,17.2,22.4,15.4,,,,20.8,27.4,15.4,12.0,,,,,,1.8,1.8,1.8,1.0,,1.0,0.8,,29.2,16.0,0.32799999999999996,4.8,4.8,4.8,3.8,average,,d8ebed8fc1972e32d2b5619a28fd045f6336b839,2017-07-07 16:42:25-07:00,0.0
1.0,1.0,1.0,1.0,22.0,3.0,9.0,6.0,1.0,17.0,1.0,0.0,,1.0,0.0,,,,1.0,0.0,3.0,15.0,0.0,0.0,0.0,3.0,,70.0,14.0,35.0,17.0,18.0,13.0,,,,18.0,22.0,14.0,8.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,40.0,0.0,0.31,5.0,5.0,5.0,4.0,median,,d8ebed8fc1972e32d2b5619a28fd045f6336b839,2017-07-07 16:42:25-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,3.0,d8ebed8fc1972e32d2b5619a28fd045f6336b839,2017-07-07 16:42:25-07:00,0.0
1.2,1.2,1.2,1.0,18.8,3.2,11.2,4.2,1.0,11.6,1.0,0.0,,1.4,0.2,,,,2.2,0.8,3.6,15.6,0.0,0.0,0.0,3.6,,65.6,13.2,37.4,17.2,22.4,15.4,,,,20.8,27.4,15.4,12.0,,,,,,1.8,1.8,1.8,1.0,,1.0,0.8,,29.2,16.0,0.32799999999999996,4.8,4.8,4.8,3.8,average,,9a1352915df466284ce330df95fffff11c33bafc,2017-07-07 16:43:42-07:00,0.0
