AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,average,,8db9916f613d64d00fbe487f9f730140b711dbe8,2016-06-29 16:42:47-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,median,,8db9916f613d64d00fbe487f9f730140b711dbe8,2016-06-29 16:42:47-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,8db9916f613d64d00fbe487f9f730140b711dbe8,2016-06-29 16:42:47-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,average,,ece843b9b29677cb421d656db9607cb58bf5233e,2016-06-29 17:01:56-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,median,,ece843b9b29677cb421d656db9607cb58bf5233e,2016-06-29 17:01:56-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,ece843b9b29677cb421d656db9607cb58bf5233e,2016-06-29 17:01:56-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,average,,c6a85c80c2355c1568545c7d80f8bd86ae66e39a,2016-06-29 17:13:54-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,median,,c6a85c80c2355c1568545c7d80f8bd86ae66e39a,2016-06-29 17:13:54-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,c6a85c80c2355c1568545c7d80f8bd86ae66e39a,2016-06-29 17:13:54-07:00,0.0
2.5,2.5,2.5,1.0,83.0,14.5,57.0,10.5,1.0,9.0,0.5,0.0,,5.0,0.0,,,,1.0,0.0,6.0,18.0,0.0,1.0,0.0,5.0,,286.0,44.0,191.5,29.0,167.5,50.5,,,,64.5,85.0,28.5,56.5,,,,,,9.5,9.5,9.5,1.0,,1.0,3.0,,0.0,0.0,0.265,17.0,17.0,17.0,6.0,average,,0ee45189a825c0ce3fb1ae5addaf7215d615948d,2016-06-29 17:17:04-07:00,0.0
