Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,a568e3019688aa73522088e99487fd5ebd1c060c,2015-09-25 16:19:30-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,2834090dbae4de76f1fab4ed90399d2721ce02b7,2015-09-28 07:10:46-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,7cb3fc5825059b2cc082d886958920e907b33cc3,2015-09-28 07:10:48-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,3540e532d6863e6d2c28fd304b0db9284962bf1f,2015-09-28 07:11:02-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,320d5b1a108ebcaf71b4391886547f1f91ec19db,2015-09-28 07:11:44-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,0eeec3ab2c514173aee9c5ad7157ffe9ab9d3775,2015-09-28 07:11:45-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,e1f532b43f70bdac390a5ec71e4e43a2dc37fa8d,2015-09-28 07:11:46-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,b7fa8ed88e517dd7e7e51bbaa1f843f2416e2b75,2015-09-28 13:49:44-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,2e4ae461f7d1a5e630fd4f1c36fc30df393c6eea,2015-09-28 21:22:01-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,9d9c79069f9ac9dfcd4fbfaf88cf7e7bab2f7073,2015-09-28 21:23:43-07:00,0.0
