AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,average,,5da0eeeb415b299559d44bcdeef9387bb9fce801,2013-06-26 13:31:34-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,median,,5da0eeeb415b299559d44bcdeef9387bb9fce801,2013-06-26 13:31:34-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,5da0eeeb415b299559d44bcdeef9387bb9fce801,2013-06-26 13:31:34-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,average,,c011c2245b991d0c7a4da32d5698c329e8761a15,2013-07-15 13:45:23-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,median,,c011c2245b991d0c7a4da32d5698c329e8761a15,2013-07-15 13:45:23-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,c011c2245b991d0c7a4da32d5698c329e8761a15,2013-07-15 13:45:23-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,average,,275c875590107ae6cad8a45f1a9894cf13a8bd29,2013-07-15 13:47:22-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,median,,275c875590107ae6cad8a45f1a9894cf13a8bd29,2013-07-15 13:47:22-07:00,0.0
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,2.0,275c875590107ae6cad8a45f1a9894cf13a8bd29,2013-07-15 13:47:22-07:00,0.0
2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,average,,27af7e26548a63f859332231596a94f2d535b377,2015-05-15 12:10:17-07:00,0.0
