AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
6.0,6.0,8.0,4.0,49.0,2.0,34.0,12.0,5.0,37.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,31.0,31.0,38.0,86.0,0.0,23.0,3.0,12.0,0.0,1700,215,969,245,640,519,0.0,0.0,0.0,417,614,222,392,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,183.0,177.0,2.14,98,97,113,49,4,41161c411b9a9d156b5b2e01cc4c56af80cf9b11,2015-05-28 12:10:56-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,49.0,2.0,34.0,12.0,5.0,37.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,31.0,31.0,38.0,86.0,0.0,23.0,3.0,12.0,0.0,1700,215,969,245,640,519,0.0,0.0,0.0,417,614,222,392,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,183.0,177.0,2.14,98,97,113,49,4,195294ae2f97a698f92e2e8f81ae3417cdab6474,2015-07-09 11:10:15-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,49.0,2.0,34.0,12.0,5.0,37.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,31.0,31.0,38.0,86.0,0.0,23.0,3.0,12.0,0.0,1700,215,969,245,640,519,0.0,0.0,0.0,417,614,222,392,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,183.0,177.0,2.14,98,97,113,49,4,021120e956e95ccddaab0aed854989d07faed583,2015-08-17 09:54:21-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,49.0,2.0,34.0,12.0,5.0,37.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,31.0,31.0,38.0,86.0,0.0,23.0,3.0,12.0,0.0,1700,215,969,245,640,519,0.0,0.0,0.0,417,614,222,392,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,183.0,177.0,2.14,98,97,113,49,4,bdc6bad1a4b9bf71bc5958898732b59e13dc72ab,2015-08-20 08:39:50-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,49.0,2.0,34.0,12.0,5.0,37.0,8.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,31.0,31.0,38.0,86.0,0.0,23.0,3.0,12.0,0.0,1700,215,969,245,640,519,0.0,0.0,0.0,417,614,222,392,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,183.0,177.0,2.14,98,97,113,49,4,0ea0c0541b66597930f9bb24f882e86881202f67,2015-08-20 23:45:52-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,47.0,1.0,33.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1818,226,1048,263,686,547,0.0,0.0,0.0,436,656,238,418,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,113,112,128,63,4,1a9626a60fde2531ec661aefddb496cabe206244,2015-09-04 11:21:34-07:00,0.004973116330802441
6.0,6.0,8.0,4.0,47.0,1.0,33.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1818,226,1048,263,686,547,0.0,0.0,0.0,436,656,238,418,0.0,0.0,0.0,0.0,0.0,14.0,14.0,20.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,113,112,128,63,4,2871950e95c242b5dba8034f070eec856a68b2d1,2015-10-08 17:42:29-07:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1861,231,1072,270,706,561,0.0,0.0,0.0,449,673,244,429,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,47b13aaa422144f5dc02eda90e05c0f4aa0f5b11,2015-11-18 09:33:15-08:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1861,231,1072,270,706,561,0.0,0.0,0.0,449,673,244,429,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,db13435110903548f2fff095ffbf5b9d05da3765,2016-01-11 18:25:34-08:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1861,231,1072,270,706,561,0.0,0.0,0.0,449,673,244,429,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,73f5b3d660bb377b61772fff3c20483072c85e73,2016-04-20 12:26:09-07:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1861,231,1072,270,706,561,0.0,0.0,0.0,449,673,244,429,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,8a82a39f640731194bebb5d8fbab7d1037d9dfaf,2016-05-18 11:38:12-07:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1867,231,1078,270,710,561,0.0,0.0,0.0,451,677,244,433,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,222e265cf65c62515a652c8fc72cbf3ad4d10711,2016-08-12 15:18:09-07:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,38.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1867,231,1078,270,710,561,0.0,0.0,0.0,451,677,244,433,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.13,117,116,133,65,4,6a67e17fd0382a28c6d88664089e9a547895ae81,2016-12-13 09:39:12-08:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,39.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1869,232,1079,271,710,561,0.0,0.0,0.0,451,677,244,433,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.12,117,116,133,65,4,6747280d8e340199f502b0b7a750f480487d3b98,2017-05-17 13:32:14-07:00,0.004973116330802441
7.0,7.0,8.0,4.0,48.0,1.0,34.0,11.0,6.0,39.0,9.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,36.0,31.0,43.0,91.0,0.0,27.0,3.0,13.0,0.0,1869,232,1079,271,710,561,0.0,0.0,0.0,451,677,244,433,0.0,0.0,0.0,0.0,0.0,16.0,16.0,22.0,8.0,0.0,8.0,6,0.0,185.0,180.0,2.12,117,116,133,65,4,8e664ba2dba2fb8d82afee8bddadd697ded9463e,2017-06-08 09:33:23-07:00,0.004973116330802441
