AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.48,1.44,1.68,0.96,11.0,0.48,7.2,2.76,1.28,8.28,2.68,0.04,,2.08,1.72,,,,5.88,2.52,7.96,23.44,0.0,1.52,0.6,5.84,,166.4,18.2,102.8,25.76,62.72,53.96,,,,40.12,63.76,23.24,40.52,,,,,,4.48,4.28,5.16,1.24,,1.6,1.56,,47.28,37.88,0.5375999999999999,17.92,17.68,19.84,8.88,average,,65e38f027280cce4bafde9c966f9d3436a9a7b7d,2014-09-02 11:01:01-07:00,8.594606298997643e-05
1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,1.0,5.0,2.0,0.0,,0.0,0.0,,,,5.0,2.0,6.0,19.0,0.0,1.0,0.0,4.0,,84.0,12.0,46.0,15.0,26.0,26.0,,,,21.0,31.0,14.0,17.0,,,,,,3.0,3.0,4.0,1.0,,2.0,1.0,,60.0,40.0,0.45,10.0,10.0,11.0,6.0,median,,65e38f027280cce4bafde9c966f9d3436a9a7b7d,2014-09-02 11:01:01-07:00,8.594606298997643e-05
,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,21.0,65e38f027280cce4bafde9c966f9d3436a9a7b7d,2014-09-02 11:01:01-07:00,8.594606298997643e-05
1.48,1.44,1.68,0.96,11.0,0.48,7.2,2.76,1.28,8.28,2.68,0.04,,2.08,1.72,,,,5.88,2.52,7.96,23.44,0.0,1.52,0.6,5.84,,166.4,18.2,102.8,25.76,62.72,53.96,,,,40.12,63.76,23.24,40.52,,,,,,4.48,4.28,5.16,1.24,,1.6,1.56,,47.28,37.88,0.5375999999999999,17.92,17.68,19.84,8.88,average,,fb9af0d9a0277203a7574273398bae9e3243b103,2014-11-18 16:18:31-08:00,8.594606298997643e-05
1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,1.0,5.0,2.0,0.0,,0.0,0.0,,,,5.0,2.0,6.0,19.0,0.0,1.0,0.0,4.0,,84.0,12.0,46.0,15.0,26.0,26.0,,,,21.0,31.0,14.0,17.0,,,,,,3.0,3.0,4.0,1.0,,2.0,1.0,,60.0,40.0,0.45,10.0,10.0,11.0,6.0,median,,fb9af0d9a0277203a7574273398bae9e3243b103,2014-11-18 16:18:31-08:00,8.594606298997643e-05
,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,21.0,fb9af0d9a0277203a7574273398bae9e3243b103,2014-11-18 16:18:31-08:00,8.594606298997643e-05
1.48,1.44,1.68,0.96,11.0,0.48,7.2,2.76,1.28,8.28,2.68,0.04,,2.08,1.72,,,,5.88,2.52,7.96,23.44,0.0,1.52,0.6,5.84,,166.4,18.2,102.8,25.76,62.72,53.96,,,,40.12,63.76,23.24,40.52,,,,,,4.48,4.28,5.16,1.24,,1.6,1.56,,47.28,37.88,0.5375999999999999,17.92,17.68,19.84,8.88,average,,4e486796d9e4b8f97d2bed7a6f2e6556dcb2d5cc,2014-12-03 01:50:56-08:00,8.594606298997643e-05
1.0,1.0,1.0,1.0,10.0,0.0,6.0,3.0,1.0,5.0,2.0,0.0,,0.0,0.0,,,,5.0,2.0,6.0,19.0,0.0,1.0,0.0,4.0,,84.0,12.0,46.0,15.0,26.0,26.0,,,,21.0,31.0,14.0,17.0,,,,,,3.0,3.0,4.0,1.0,,2.0,1.0,,60.0,40.0,0.45,10.0,10.0,11.0,6.0,median,,4e486796d9e4b8f97d2bed7a6f2e6556dcb2d5cc,2014-12-03 01:50:56-08:00,8.594606298997643e-05
,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,21.0,4e486796d9e4b8f97d2bed7a6f2e6556dcb2d5cc,2014-12-03 01:50:56-08:00,8.594606298997643e-05
1.48,1.44,1.68,0.96,11.0,0.48,7.2,2.76,1.28,8.28,2.68,0.04,,2.08,1.72,,,,5.88,2.52,7.96,23.44,0.0,1.52,0.6,5.84,,166.4,18.2,102.8,25.76,62.72,53.96,,,,40.12,63.76,23.24,40.52,,,,,,4.48,4.28,5.16,1.24,,1.6,1.56,,47.28,37.88,0.5375999999999999,17.92,17.68,19.84,8.88,average,,660f603e48b9638c332036778ec7424844bb56fb,2014-12-05 15:05:00-08:00,8.594606298997643e-05
