AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.5,1.5,1.5,1.0,19.5,1.75,15.75,2.0,1.0,2.25,0.25,0.0,,0.0,1.25,,,,2.25,0.5,2.25,14.25,0.0,0.25,0.25,1.75,,39.25,6.75,26.25,11.0,15.5,6.25,,,,10.25,15.25,8.5,6.75,,,,,,1.75,1.75,1.75,1.0,,1.75,0.5,,20.75,0.0,0.22,3.0,3.0,3.0,2.25,average,,ba3f5cb53d37f6939a818fb7a80bd0d13cbbb775,2017-05-17 13:33:17-07:00,0.0
1.5,1.5,1.5,1.0,21.5,1.0,17.0,1.5,1.0,2.0,0.0,0.0,,0.0,1.0,,,,1.0,0.5,1.0,13.0,0.0,0.0,0.0,1.0,,43.5,7.0,27.5,11.0,15.5,6.5,,,,10.0,16.5,8.0,7.5,,,,,,2.0,2.0,2.0,1.0,,2.0,0.5,,0.0,0.0,0.225,2.0,2.0,2.0,1.0,median,,ba3f5cb53d37f6939a818fb7a80bd0d13cbbb775,2017-05-17 13:33:17-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,4.0,ba3f5cb53d37f6939a818fb7a80bd0d13cbbb775,2017-05-17 13:33:17-07:00,0.0
1.5,1.5,1.5,1.0,19.5,1.75,15.75,2.0,1.0,2.25,0.25,0.0,,0.0,1.25,,,,2.25,0.5,2.25,14.25,0.0,0.25,0.25,1.75,,39.25,6.75,26.25,11.0,15.5,6.25,,,,10.25,15.25,8.5,6.75,,,,,,1.75,1.75,1.75,1.0,,1.75,0.5,,20.75,0.0,0.22,3.0,3.0,3.0,2.25,average,,8191859b4e58e2f3ec0ea02f7f41204c862dc3d3,2017-06-08 09:34:24-07:00,0.0
1.5,1.5,1.5,1.0,21.5,1.0,17.0,1.5,1.0,2.0,0.0,0.0,,0.0,1.0,,,,1.0,0.5,1.0,13.0,0.0,0.0,0.0,1.0,,43.5,7.0,27.5,11.0,15.5,6.5,,,,10.0,16.5,8.0,7.5,,,,,,2.0,2.0,2.0,1.0,,2.0,0.5,,0.0,0.0,0.225,2.0,2.0,2.0,1.0,median,,8191859b4e58e2f3ec0ea02f7f41204c862dc3d3,2017-06-08 09:34:24-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,4.0,8191859b4e58e2f3ec0ea02f7f41204c862dc3d3,2017-06-08 09:34:24-07:00,0.0
1.5,1.5,1.5,1.0,17.75,1.75,14.0,2.0,1.0,2.5,0.5,0.0,,0.0,1.25,,,,2.25,0.5,2.25,14.25,0.0,0.25,0.25,1.75,,42.75,8.0,28.5,12.75,15.75,6.25,,,,11.25,17.0,9.75,7.25,,,,,,1.75,1.75,1.75,1.0,,1.75,0.5,,20.75,0.0,0.2025,3.0,3.0,3.0,2.25,average,,18ab476f8588a339ebaa617e455f68beda493bd6,2017-10-10 17:52:54-07:00,0.0
1.5,1.5,1.5,1.0,18.5,1.0,13.5,1.5,1.0,2.5,0.5,0.0,,0.0,1.0,,,,1.0,0.5,1.0,13.0,0.0,0.0,0.0,1.0,,45.5,7.0,29.5,12.0,16.0,6.5,,,,10.0,16.5,8.0,8.5,,,,,,2.0,2.0,2.0,1.0,,2.0,0.5,,0.0,0.0,0.19,2.0,2.0,2.0,1.0,median,,18ab476f8588a339ebaa617e455f68beda493bd6,2017-10-10 17:52:54-07:00,0.0
,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,4.0,18ab476f8588a339ebaa617e455f68beda493bd6,2017-10-10 17:52:54-07:00,0.0
1.5,1.5,1.5,1.0,17.75,1.75,14.0,2.0,1.0,2.5,0.5,0.0,,0.0,1.25,,,,2.25,0.5,2.25,14.25,0.0,0.25,0.25,1.75,,42.75,8.0,28.5,12.75,15.75,6.25,,,,11.25,17.0,9.75,7.25,,,,,,1.75,1.75,1.75,1.0,,1.75,0.5,,20.75,0.0,0.2025,3.0,3.0,3.0,2.25,average,,bb8ee6e70e9f61c272528af10f7ccb305d36bb95,2018-02-15 16:36:31-08:00,0.0
