AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.1,1.0,1.1,0.8,8.2,0.4,5.1,2.5,1.3,3.6,1.0,0.0,,1.8,2.0,,,,3.8,2.4,5.6,17.6,0.0,0.2,0.1,5.3,,87.6,10.1,50.4,21.1,29.7,27.4,,,,27.0,37.1,20.0,17.1,,,,,,2.7,2.2,2.9,0.8,,1.5,0.7,,37.8,28.2,0.6139999999999999,8.2,7.7,8.4,5.6,average,,22b5dd769c12d26103188df72fbcd70ef7545e42,2014-06-26 09:04:50-07:00,0.05364009769982658
1.0,1.0,1.0,1.0,8.5,0.0,5.0,2.5,1.0,3.5,1.0,0.0,,0.0,0.0,,,,3.5,1.0,4.5,16.5,0.0,0.0,0.0,4.5,,71.0,8.5,55.0,15.5,29.5,17.5,,,,26.0,38.5,15.5,13.5,,,,,,2.0,2.0,2.0,1.0,,1.5,1.0,,41.5,26.0,0.375,6.0,6.0,6.0,4.5,median,,22b5dd769c12d26103188df72fbcd70ef7545e42,2014-06-26 09:04:50-07:00,0.05364009769982658
,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,11.0,22b5dd769c12d26103188df72fbcd70ef7545e42,2014-06-26 09:04:50-07:00,0.05364009769982658
1.375,1.25,1.375,1.0,10.25,0.5,6.375,3.125,1.375,3.75,0.75,0.0,,2.25,1.75,,,,4.75,3.0,7.0,19.0,0.0,0.25,0.125,6.625,,98.375,12.5,53.25,17.875,29.875,33.0,,,,26.5,37.875,16.5,21.375,,,,,,3.375,2.75,3.625,1.0,,1.625,0.875,,47.25,35.25,0.7074999999999999,10.25,9.625,10.5,7.0,average,,53986bd986359107d2cd1c3368259e03a9ba191a,2014-08-25 22:46:06-07:00,1.4971091230917307e-05
1.0,1.0,1.0,1.0,10.5,0.0,6.0,3.0,1.0,4.0,1.0,0.0,,0.0,0.0,,,,4.5,1.5,6.0,18.0,0.0,0.0,0.0,5.5,,78.5,11.5,55.0,15.5,29.5,22.0,,,,26.0,38.5,15.5,18.5,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,,56.0,35.0,0.54,9.0,9.0,9.0,6.0,median,,53986bd986359107d2cd1c3368259e03a9ba191a,2014-08-25 22:46:06-07:00,1.4971091230917307e-05
,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,9.0,53986bd986359107d2cd1c3368259e03a9ba191a,2014-08-25 22:46:06-07:00,1.4971091230917307e-05
1.375,1.25,1.375,1.0,10.25,0.5,6.375,3.125,1.375,3.75,0.75,0.0,,2.25,1.75,,,,4.75,3.0,7.0,19.0,0.0,0.25,0.125,6.625,,98.375,12.5,53.25,17.875,29.875,33.0,,,,26.5,37.875,16.5,21.375,,,,,,3.375,2.75,3.625,1.0,,1.625,0.875,,47.25,35.25,0.7074999999999999,10.25,9.625,10.5,7.0,average,,1a6e0d4510ff8dfda40c69ebcc81bd612014f4bc,2014-11-18 16:19:36-08:00,1.4971091230917307e-05
1.0,1.0,1.0,1.0,10.5,0.0,6.0,3.0,1.0,4.0,1.0,0.0,,0.0,0.0,,,,4.5,1.5,6.0,18.0,0.0,0.0,0.0,5.5,,78.5,11.5,55.0,15.5,29.5,22.0,,,,26.0,38.5,15.5,18.5,,,,,,2.0,2.0,2.0,1.0,,2.0,1.0,,56.0,35.0,0.54,9.0,9.0,9.0,6.0,median,,1a6e0d4510ff8dfda40c69ebcc81bd612014f4bc,2014-11-18 16:19:36-08:00,1.4971091230917307e-05
,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,9.0,1a6e0d4510ff8dfda40c69ebcc81bd612014f4bc,2014-11-18 16:19:36-08:00,1.4971091230917307e-05
1.375,1.25,1.375,1.0,10.25,0.5,6.375,3.125,1.375,3.75,0.75,0.0,,2.25,1.75,,,,4.75,3.0,7.0,19.0,0.0,0.25,0.125,6.625,,98.375,12.5,53.25,17.875,29.875,33.0,,,,26.5,37.875,16.5,21.375,,,,,,3.375,2.75,3.625,1.0,,1.625,0.875,,47.25,35.25,0.7074999999999999,10.25,9.625,10.5,7.0,average,,c37579b19e0006ba0956bf133bbb3fda5b7f399e,2014-12-03 01:52:56-08:00,1.4971091230917307e-05
