AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,,2.2,1.6,,,,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,,106.5,15.9,65.9,18.6,41.7,24.7,,,,34.0,45.3,16.0,29.3,,,,,,5.6,2.8,5.6,1.2,,1.6,1.2,,41.5,30.4,0.516,12.8,10.0,12.9,7.2,average,,4f2b8272c1d8b0f2ec56ab43f455222cf70f9bb3,2014-10-03 18:14:14-07:00,9.79313812091608e-05
1.0,1.0,1.0,1.0,12.5,1.0,8.5,1.0,1.0,4.0,1.0,0.0,,0.0,0.5,,,,4.5,1.0,5.0,17.5,0.0,0.0,0.0,4.5,,72.5,12.5,57.0,15.5,33.0,11.5,,,,27.0,40.0,15.0,20.5,,,,,,3.0,3.0,3.0,1.0,,1.5,1.0,,55.0,28.0,0.295,8.5,8.5,8.5,5.5,median,,4f2b8272c1d8b0f2ec56ab43f455222cf70f9bb3,2014-10-03 18:14:14-07:00,9.79313812091608e-05
,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,11.0,4f2b8272c1d8b0f2ec56ab43f455222cf70f9bb3,2014-10-03 18:14:14-07:00,9.79313812091608e-05
1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,,2.2,1.6,,,,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,,106.5,15.9,65.9,18.6,41.7,24.7,,,,34.0,45.3,16.0,29.3,,,,,,5.6,2.8,5.6,1.2,,1.6,1.2,,41.5,30.4,0.516,12.8,10.0,12.9,7.2,average,,e9bad8b37642d6228768e82e8c89f38d2759656f,2014-11-18 16:19:49-08:00,9.79313812091608e-05
1.0,1.0,1.0,1.0,12.5,1.0,8.5,1.0,1.0,4.0,1.0,0.0,,0.0,0.5,,,,4.5,1.0,5.0,17.5,0.0,0.0,0.0,4.5,,72.5,12.5,57.0,15.5,33.0,11.5,,,,27.0,40.0,15.0,20.5,,,,,,3.0,3.0,3.0,1.0,,1.5,1.0,,55.0,28.0,0.295,8.5,8.5,8.5,5.5,median,,e9bad8b37642d6228768e82e8c89f38d2759656f,2014-11-18 16:19:49-08:00,9.79313812091608e-05
,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,11.0,e9bad8b37642d6228768e82e8c89f38d2759656f,2014-11-18 16:19:49-08:00,9.79313812091608e-05
1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,,2.2,1.6,,,,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,,106.5,15.9,65.9,18.6,41.7,24.7,,,,34.0,45.3,16.0,29.3,,,,,,5.6,2.8,5.6,1.2,,1.6,1.2,,41.5,30.4,0.516,12.8,10.0,12.9,7.2,average,,acf1ffa1386bb0cceb7bed8be25e7966f326b16d,2014-12-03 01:53:12-08:00,9.79313812091608e-05
1.0,1.0,1.0,1.0,12.5,1.0,8.5,1.0,1.0,4.0,1.0,0.0,,0.0,0.5,,,,4.5,1.0,5.0,17.5,0.0,0.0,0.0,4.5,,72.5,12.5,57.0,15.5,33.0,11.5,,,,27.0,40.0,15.0,20.5,,,,,,3.0,3.0,3.0,1.0,,1.5,1.0,,55.0,28.0,0.295,8.5,8.5,8.5,5.5,median,,acf1ffa1386bb0cceb7bed8be25e7966f326b16d,2014-12-03 01:53:12-08:00,9.79313812091608e-05
,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,11.0,acf1ffa1386bb0cceb7bed8be25e7966f326b16d,2014-12-03 01:53:12-08:00,9.79313812091608e-05
1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,,2.2,1.6,,,,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,,106.5,15.9,65.9,18.6,41.7,24.7,,,,34.0,45.3,16.0,29.3,,,,,,5.6,2.8,5.6,1.2,,1.6,1.2,,41.5,30.4,0.516,12.8,10.0,12.9,7.2,average,,781816020947e087640c088c47d8c1ac52b7e96b,2014-12-05 15:06:20-08:00,9.79313812091608e-05
1.0,1.0,1.0,1.0,12.5,1.0,8.5,1.0,1.0,4.0,1.0,0.0,,0.0,0.5,,,,4.5,1.0,5.0,17.5,0.0,0.0,0.0,4.5,,72.5,12.5,57.0,15.5,33.0,11.5,,,,27.0,40.0,15.0,20.5,,,,,,3.0,3.0,3.0,1.0,,1.5,1.0,,55.0,28.0,0.295,8.5,8.5,8.5,5.5,median,,781816020947e087640c088c47d8c1ac52b7e96b,2014-12-05 15:06:20-08:00,9.79313812091608e-05
,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,11.0,781816020947e087640c088c47d8c1ac52b7e96b,2014-12-05 15:06:20-08:00,9.79313812091608e-05
