AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
17.0,16.0,17.0,13.0,108.0,5.0,71.0,27.0,24.0,46.0,15.0,1.0,0.0,18.0,23.0,0.0,0.0,0.0,59.0,10.0,77.0,236.0,0.0,9.0,5.0,63.0,0.0,1010,128,571,206,304,315,0.0,0.0,0.0,224,356,165,191,0.0,0.0,0.0,0.0,0.0,39.0,32.0,39.0,13.0,0.0,23.0,12,0.0,406.0,277.0,6.880000000000001,119,112,119,77,14,6c62a43c6798479d28cb8aec7b2782dbb5769b75,2014-10-03 18:14:36-07:00,0.006891383907973899
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,823,107,455,169,239,265,0.0,0.0,0.0,181,291,138,153,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.820000000000001,99,94,99,63,12,6707818690b66cac99d0d37d288d0826bbab86af,2014-11-18 16:21:06-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,43ec8920477b115f29c9b319eb24b4c457b89510,2014-12-03 01:59:36-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,8a8bd96b0742a565554c1464dd66a0e8a5b09e74,2014-12-05 15:07:39-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,d3b28a87d2e101eca17d2958cd5154ab3ca7cfca,2014-12-08 17:53:01-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,bfdf2f0dfce9bf123c95f7fb91e2ae80150870d6,2014-12-15 11:57:03-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,22a23c2c1937952669ef999d7ae67f66344d47db,2015-01-21 12:15:19-08:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,33e702e3f2c8da7a9555cac541a56959d581a0b5,2015-03-30 17:45:59-07:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,1295692f9a0e8e18acfba37b169cdc9a336f0135,2015-04-28 10:57:11-07:00,0.08300347477331972
15.0,14.0,15.0,11.0,91.0,5.0,60.0,22.0,20.0,35.0,11.0,1.0,0.0,18.0,22.0,0.0,0.0,0.0,45.0,7.0,63.0,198.0,0.0,5.0,4.0,54.0,0.0,826,107,458,170,241,265,0.0,0.0,0.0,183,293,139,154,0.0,0.0,0.0,0.0,0.0,34.0,29.0,34.0,11.0,0.0,19.0,11,0.0,319.0,199.0,5.790000000000002,99,94,99,63,12,90900303b55e78b6f84d6aed6fe2a8def93d50a5,2015-05-21 10:05:32-07:00,0.08300347477331972
