AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,type,numberJavaFiles,commitSha,commitDate,readability
1.6,1.55,1.9,1.1,12.25,0.65,9.65,1.4,1.2,6.85,2.75,0.0,,1.25,3.5,,,,4.0,1.9,5.25,17.25,0.25,0.95,0.5,3.55,,110.65,15.65,80.1,29.45,53.7,15.55,,,,37.35,50.8,23.9,26.9,,,,,,3.7,3.35,4.15,1.6,,1.75,1.15,,28.1,26.2,0.2385,10.6,10.25,11.9,6.1,average,,863d9ca989fcc14f5c41236c0b92e6ae80c17087,2015-03-30 18:56:41-07:00,9.354475878353696e-06
1.0,1.0,2.0,1.0,11.0,0.0,9.0,1.0,1.0,7.0,2.5,0.0,,0.0,1.0,,,,3.5,0.0,5.0,17.0,0.0,0.0,0.0,2.0,,79.0,13.5,58.5,21.0,40.5,9.0,,,,24.5,34.0,15.5,20.0,,,,,,3.5,3.0,4.0,1.0,,2.0,1.0,,0.0,0.0,0.18,7.0,7.0,9.0,5.0,median,,863d9ca989fcc14f5c41236c0b92e6ae80c17087,2015-03-30 18:56:41-07:00,9.354475878353696e-06
,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,16.0,863d9ca989fcc14f5c41236c0b92e6ae80c17087,2015-03-30 18:56:41-07:00,9.354475878353696e-06
1.6,1.55,1.9,1.1,12.3,0.65,9.7,1.4,1.2,6.9,2.75,0.0,,1.25,3.55,,,,4.0,1.9,5.25,17.25,0.25,0.95,0.5,3.55,,111.3,15.75,80.65,29.6,54.2,15.55,,,,37.5,51.05,24.05,27.0,,,,,,3.7,3.35,4.15,1.6,,1.75,1.2,,28.1,26.2,0.2365,10.65,10.3,11.95,6.1,average,,1f5a0e98d543b823b94361285a34c685ecb97e2a,2015-04-28 10:57:24-07:00,9.354475878353696e-06
1.0,1.0,2.0,1.0,11.0,0.0,9.0,1.0,1.0,7.0,2.5,0.0,,0.0,1.0,,,,3.5,0.0,5.0,17.0,0.0,0.0,0.0,2.0,,79.0,13.5,58.5,21.0,40.5,9.0,,,,24.5,34.0,15.5,20.0,,,,,,3.5,3.0,4.0,1.0,,2.0,1.0,,0.0,0.0,0.18,7.0,7.0,9.0,5.0,median,,1f5a0e98d543b823b94361285a34c685ecb97e2a,2015-04-28 10:57:24-07:00,9.354475878353696e-06
,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,16.0,1f5a0e98d543b823b94361285a34c685ecb97e2a,2015-04-28 10:57:24-07:00,9.354475878353696e-06
1.5714285714285714,1.5238095238095237,1.8571428571428572,1.0952380952380953,11.857142857142858,0.6190476190476191,9.285714285714286,1.3333333333333333,1.2380952380952381,6.619047619047619,2.619047619047619,0.0,,1.1904761904761905,3.380952380952381,,,,3.9047619047619047,1.8095238095238095,5.095238095238095,17.095238095238095,0.23809523809523808,0.9047619047619048,0.38095238095238093,3.5714285714285716,,105.9047619047619,15.0,76.42857142857143,28.238095238095237,50.95238095238095,15.095238095238095,,,,35.42857142857143,48.38095238095238,22.761904761904763,25.61904761904762,,,,,,3.5714285714285716,3.238095238095238,4.0,1.5714285714285714,,1.7142857142857142,1.2857142857142858,,26.761904761904763,24.952380952380953,0.25761904761904764,10.238095238095237,9.904761904761905,11.476190476190476,5.904761904761905,average,,c2ed93be3ffd6a103413d0649e73961060d2ba24,2015-05-21 10:05:40-07:00,6.731947017696631e-05
1.0,1.0,2.0,1.0,10.0,0.0,9.0,1.0,1.0,6.0,2.0,0.0,,0.0,1.0,,,,3.0,0.0,5.0,17.0,0.0,0.0,0.0,2.0,,72.0,13.0,54.0,21.0,35.0,9.0,,,,23.0,32.0,14.0,19.0,,,,,,3.0,3.0,4.0,1.0,,2.0,1.0,,0.0,0.0,0.18,7.0,7.0,8.0,5.0,median,,c2ed93be3ffd6a103413d0649e73961060d2ba24,2015-05-21 10:05:40-07:00,6.731947017696631e-05
,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute,17.0,c2ed93be3ffd6a103413d0649e73961060d2ba24,2015-05-21 10:05:40-07:00,6.731947017696631e-05
1.5714285714285714,1.5238095238095237,1.8571428571428572,1.0952380952380953,11.857142857142858,0.6190476190476191,9.285714285714286,1.3333333333333333,1.2380952380952381,6.619047619047619,2.619047619047619,0.0,,1.1904761904761905,3.380952380952381,,,,3.9047619047619047,1.8095238095238095,5.095238095238095,17.095238095238095,0.23809523809523808,0.9047619047619048,0.38095238095238093,3.5714285714285716,,105.9047619047619,15.0,76.42857142857143,28.238095238095237,50.95238095238095,15.095238095238095,,,,35.42857142857143,48.38095238095238,22.761904761904763,25.61904761904762,,,,,,3.5714285714285716,3.238095238095238,4.0,1.5714285714285714,,1.7142857142857142,1.2857142857142858,,26.761904761904763,24.952380952380953,0.25761904761904764,10.238095238095237,9.904761904761905,11.476190476190476,5.904761904761905,average,,17aed512b3d33cab5a9ff86d2f0aa32a52334459,2015-05-28 12:00:56-07:00,6.731947017696631e-05
1.0,1.0,2.0,1.0,10.0,0.0,9.0,1.0,1.0,6.0,2.0,0.0,,0.0,1.0,,,,3.0,0.0,5.0,17.0,0.0,0.0,0.0,2.0,,72.0,13.0,54.0,21.0,35.0,9.0,,,,23.0,32.0,14.0,19.0,,,,,,3.0,3.0,4.0,1.0,,2.0,1.0,,0.0,0.0,0.18,7.0,7.0,8.0,5.0,median,,17aed512b3d33cab5a9ff86d2f0aa32a52334459,2015-05-28 12:00:56-07:00,6.731947017696631e-05
