AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate
,,,,,,,,,,,,,,,,,,,,,,,,,,4.413461538461538,12.076923076923077,0.5384615384615384,11.14423076923077,2.048076923076923,7.846153846153846,0.3942307692307692,4.6826923076923075,3.1634615384615383,0.2403846153846154,4.836538461538462,7.413461538461538,2.1634615384615383,5.836538461538462,2.3653846153846154,2.3653846153846154,2.6153846153846154,1.3846153846153846,1.0384615384615385,,,,,0.5769230769230769,,0.7596153846153846,0.5673076923076923,,,0.04644230769230769,2.3653846153846154,2.3653846153846154,2.6153846153846154,1.3846153846153846,method,,,46a7e39ad24cfbdc519fb3ee5be7cdf602f32cea,2014-11-24 10:27:54-08:00
1.9375,1.9375,2.1875,1.1875,10.125,0.375,9.46875,0.09375,1.21875,8.875,5.40625,0.0625,,0.53125,3.34375,,,,2.96875,1.96875,3.5,17.0,0.03125,0.90625,0.46875,2.09375,,81.875,9.1875,70.21875,20.9375,44.84375,2.53125,,,,32.375,46.59375,18.625,31.0,,,,,,3.40625,3.40625,3.78125,1.8125,,1.6875,1.25,,22.59375,17.90625,0.051875,7.96875,7.96875,8.78125,4.78125,class,,,46a7e39ad24cfbdc519fb3ee5be7cdf602f32cea,2014-11-24 10:27:54-08:00
,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,12.0,4.0,46a7e39ad24cfbdc519fb3ee5be7cdf602f32cea,2014-11-24 10:27:54-08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,4.423076923076923,12.076923076923077,0.5384615384615384,11.14423076923077,2.048076923076923,7.846153846153846,0.3942307692307692,4.6826923076923075,3.1634615384615383,0.2403846153846154,4.836538461538462,7.413461538461538,2.1634615384615383,5.836538461538462,2.3653846153846154,2.3653846153846154,2.6153846153846154,1.3846153846153846,1.0384615384615385,,,,,0.5769230769230769,,0.7596153846153846,0.5673076923076923,,,0.04644230769230769,2.3653846153846154,2.3653846153846154,2.6153846153846154,1.3846153846153846,method,,,9cfbbd1b953485be2391233cf1c073b37a569c09,2015-01-07 15:54:36+09:00
1.9375,1.9375,2.1875,1.1875,10.125,0.375,9.46875,0.09375,1.21875,8.875,5.40625,0.0625,,0.53125,3.34375,,,,2.96875,1.96875,3.5,17.0,0.03125,0.90625,0.46875,2.09375,,81.875,9.1875,70.21875,20.9375,44.84375,2.53125,,,,32.375,46.59375,18.625,31.0,,,,,,3.40625,3.40625,3.78125,1.8125,,1.6875,1.25,,22.59375,17.90625,0.051875,7.96875,7.96875,8.78125,4.78125,class,,,9cfbbd1b953485be2391233cf1c073b37a569c09,2015-01-07 15:54:36+09:00
,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,12.0,4.0,9cfbbd1b953485be2391233cf1c073b37a569c09,2015-01-07 15:54:36+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,3.990990990990991,12.00900900900901,0.5315315315315315,10.936936936936936,1.990990990990991,7.603603603603603,0.5405405405405406,4.711711711711712,3.126126126126126,0.23423423423423423,4.990990990990991,7.603603603603603,2.18018018018018,6.009009009009009,2.369369369369369,2.369369369369369,2.630630630630631,1.3963963963963963,1.0810810810810811,,,,,0.5765765765765766,,0.7747747747747747,0.5675675675675675,,,0.06666666666666667,2.369369369369369,2.369369369369369,2.630630630630631,1.3963963963963963,method,,,2bda01b48fdadf9a3e7d86519e26c1686bb39f21,2015-01-08 20:32:47+09:00
1.868421052631579,1.868421052631579,2.1315789473684212,1.2105263157894737,10.18421052631579,0.3684210526315789,9.368421052631579,0.21052631578947367,1.1842105263157894,8.157894736842104,5.105263157894737,0.02631578947368421,,0.39473684210526316,1.5263157894736843,,,,2.763157894736842,1.736842105263158,3.1578947368421053,16.36842105263158,0.05263157894736842,0.7631578947368421,0.39473684210526316,1.9473684210526316,,74.26315789473684,8.052631578947368,62.973684210526315,17.526315789473685,39.28947368421053,3.236842105263158,,,,28.57894736842105,41.86842105263158,15.605263157894736,28.94736842105263,,,,,,3.1842105263157894,3.1842105263157894,3.5526315789473686,1.7894736842105263,,1.7105263157894737,1.1578947368421053,,18.44736842105263,14.289473684210526,0.060263157894736845,7.184210526315789,7.184210526315789,7.947368421052632,4.342105263157895,class,,,2bda01b48fdadf9a3e7d86519e26c1686bb39f21,2015-01-08 20:32:47+09:00
,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,2bda01b48fdadf9a3e7d86519e26c1686bb39f21,2015-01-08 20:32:47+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,3.990990990990991,12.00900900900901,0.5315315315315315,10.936936936936936,1.990990990990991,7.603603603603603,0.5405405405405406,4.711711711711712,3.126126126126126,0.23423423423423423,4.990990990990991,7.603603603603603,2.18018018018018,6.009009009009009,2.369369369369369,2.369369369369369,2.630630630630631,1.3963963963963963,1.0810810810810811,,,,,0.5765765765765766,,0.7747747747747747,0.5675675675675675,,,0.06666666666666667,2.369369369369369,2.369369369369369,2.630630630630631,1.3963963963963963,method,,,678536f0a0c84fbcf855c5309b0df9d4d431f51b,2015-01-12 13:26:04+09:00
1.868421052631579,1.868421052631579,2.1315789473684212,1.2105263157894737,10.18421052631579,0.3684210526315789,9.368421052631579,0.21052631578947367,1.1842105263157894,8.157894736842104,5.105263157894737,0.02631578947368421,,0.39473684210526316,1.5263157894736843,,,,2.763157894736842,1.736842105263158,3.1578947368421053,16.36842105263158,0.05263157894736842,0.7631578947368421,0.39473684210526316,1.9473684210526316,,74.26315789473684,8.052631578947368,62.973684210526315,17.526315789473685,39.28947368421053,3.236842105263158,,,,28.57894736842105,41.86842105263158,15.605263157894736,28.94736842105263,,,,,,3.1842105263157894,3.1842105263157894,3.5526315789473686,1.7894736842105263,,1.7105263157894737,1.1578947368421053,,18.44736842105263,14.289473684210526,0.060263157894736845,7.184210526315789,7.184210526315789,7.947368421052632,4.342105263157895,class,,,678536f0a0c84fbcf855c5309b0df9d4d431f51b,2015-01-12 13:26:04+09:00
,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,678536f0a0c84fbcf855c5309b0df9d4d431f51b,2015-01-12 13:26:04+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,3.9279279279279278,11.936936936936936,0.4954954954954955,10.91891891891892,2.045045045045045,7.585585585585585,0.5225225225225225,4.738738738738738,3.054054054054054,0.23423423423423423,5.036036036036036,7.657657657657658,2.27027027027027,6.027027027027027,2.3513513513513513,2.3513513513513513,2.5945945945945947,1.4054054054054055,1.063063063063063,,,,,0.5945945945945946,,0.7927927927927928,0.5855855855855856,,,0.0655855855855856,2.3513513513513513,2.3513513513513513,2.5945945945945947,1.4054054054054055,method,,,339a8eba8b73752bd784f775ab874c279f97dd3e,2015-01-12 18:38:04+09:00
1.8157894736842106,1.8157894736842106,2.0,1.2105263157894737,9.842105263157896,0.34210526315789475,9.052631578947368,0.21052631578947367,1.1842105263157894,8.078947368421053,5.0,0.02631578947368421,,0.39473684210526316,1.4473684210526316,,,,2.763157894736842,1.6842105263157894,3.1578947368421053,16.36842105263158,0.05263157894736842,0.7631578947368421,0.39473684210526316,1.9473684210526316,,73.36842105263158,7.657894736842105,62.68421052631579,17.842105263157894,39.078947368421055,3.026315789473684,,,,28.763157894736842,42.1578947368421,16.105263157894736,29.05263157894737,,,,,,3.0789473684210527,3.0789473684210527,3.3947368421052633,1.763157894736842,,1.7105263157894737,1.1578947368421053,,18.36842105263158,15.18421052631579,0.06,7.131578947368421,7.131578947368421,7.842105263157895,4.368421052631579,class,,,339a8eba8b73752bd784f775ab874c279f97dd3e,2015-01-12 18:38:04+09:00
,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,13.0,4.0,339a8eba8b73752bd784f775ab874c279f97dd3e,2015-01-12 18:38:04+09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,3.9279279279279278,11.936936936936936,0.4954954954954955,10.91891891891892,2.045045045045045,7.585585585585585,0.5225225225225225,4.738738738738738,3.054054054054054,0.23423423423423423,5.036036036036036,7.657657657657658,2.27027027027027,6.027027027027027,2.3513513513513513,2.3513513513513513,2.5945945945945947,1.4054054054054055,1.063063063063063,,,,,0.5945945945945946,,0.7927927927927928,0.5855855855855856,,,0.0655855855855856,2.3513513513513513,2.3513513513513513,2.5945945945945947,1.4054054054054055,method,,,f08bb4b8a2d1eb3c79568cf7c6daaad45677a0f6,2015-01-21 17:19:08+09:00
