,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2016,9,5.5,5.5,5.5,1.5,71.0,13.5,47.0,9.5,1.0,10.5,0.5,0.0,2.0,7.0,0.0,1.0,0.0,8.0,20.0,0.0,1.0,0.0,7.0,393.5,56.5,270.5,34.0,225.0,66.5,105.5,155.5,47.5,108.0,17.0,17.0,17.0,2.5,1.0,3.5,0.0,0.0,0.28500000000000003,35.5,35.5,35.5,9.5,2.0,0.0,0.0
2016,10,5.5,5.5,5.5,1.5,71.0,13.5,47.0,9.5,1.0,10.5,0.5,0.0,2.0,7.0,0.0,1.0,0.0,8.0,20.0,0.0,1.0,0.0,7.0,393.5,56.5,270.5,34.0,225.0,66.5,105.5,155.5,47.5,108.0,17.0,17.0,17.0,2.5,1.0,3.5,0.0,0.0,0.28500000000000003,35.5,35.5,35.5,9.5,2.0,0.0,0.0
2016,11,5.5,5.5,5.5,1.5,71.0,13.5,47.0,9.5,1.0,10.5,0.5,0.0,2.0,7.0,0.0,1.0,0.0,8.0,20.0,0.0,1.0,0.0,7.0,393.5,56.5,270.5,34.0,225.0,66.5,105.5,155.5,47.5,108.0,17.0,17.0,17.0,2.5,1.0,3.5,0.0,0.0,0.28500000000000003,35.5,35.5,35.5,9.5,2.0,0.0,0.0
2016,12,5.5,5.5,5.5,1.5,72.5,13.0,49.0,9.5,1.0,14.5,0.5,0.0,2.0,15.5,0.0,1.0,0.0,16.5,28.5,0.0,1.0,0.0,15.5,766.5,85.5,563.5,84.5,469.0,117.5,197.5,305.0,106.0,199.0,17.0,17.0,17.0,2.5,1.0,3.5,0.0,0.0,0.28,77.0,77.0,79.5,18.0,2.0,0.0,0.0
2017,1,5.5,5.5,5.5,1.5,72.5,13.0,49.0,9.5,1.0,14.5,0.5,0.0,2.0,15.5,0.0,1.0,0.0,16.5,28.5,0.0,1.0,0.0,15.5,766.5,85.5,563.5,84.5,469.0,117.5,197.5,305.0,106.0,199.0,17.0,17.0,17.0,2.5,1.0,3.5,0.0,0.0,0.28,77.0,77.0,79.5,18.0,2.0,0.0,0.0
2017,2,3.888888888888889,3.888888888888889,3.888888888888889,1.0,46.11111111111111,6.222222222222222,31.88888888888889,7.222222222222221,1.0,13.0,0.3333333333333333,0.0,3.6666666666666665,14.666666666666666,0.0,1.6666666666666667,1.1111111111111112,16.333333333333332,28.333333333333332,0.0,1.222222222222222,0.0,15.111111111111109,707.2222222222222,71.77777777777777,523.5555555555557,76.77777777777777,428.8888888888889,111.88888888888887,180.77777777777774,284.22222222222223,95.77777777777779,188.44444444444446,14.111111111111114,14.111111111111114,14.111111111111114,1.6666666666666667,1.0,3.222222222222222,13.333333333333334,9.555555555555557,0.3444444444444444,75.33333333333333,75.33333333333333,77.55555555555556,17.0,3.0,0.0,0.0
2017,3,3.888888888888889,3.888888888888889,3.888888888888889,1.0,46.11111111111111,6.222222222222222,31.88888888888889,7.222222222222221,1.0,13.0,0.3333333333333333,0.0,3.6666666666666665,14.666666666666666,0.0,1.6666666666666667,1.1111111111111112,16.333333333333332,28.333333333333332,0.0,1.222222222222222,0.0,15.111111111111109,707.2222222222222,71.77777777777777,523.5555555555557,76.77777777777777,428.8888888888889,111.88888888888887,180.77777777777774,284.22222222222223,95.77777777777779,188.44444444444446,14.111111111111114,14.111111111111114,14.111111111111114,1.6666666666666667,1.0,3.222222222222222,13.333333333333334,9.555555555555557,0.3444444444444444,75.33333333333333,75.33333333333333,77.55555555555556,17.0,3.0,0.0,0.0
2017,4,3.888888888888889,3.888888888888889,3.888888888888889,1.0,46.11111111111111,6.222222222222222,31.88888888888889,7.222222222222221,1.0,13.0,0.3333333333333333,0.0,3.6666666666666665,14.666666666666666,0.0,1.6666666666666667,1.1111111111111112,16.333333333333332,28.333333333333332,0.0,1.222222222222222,0.0,15.111111111111109,707.2222222222222,71.77777777777777,523.5555555555557,76.77777777777777,428.8888888888889,111.88888888888887,180.77777777777774,284.22222222222223,95.77777777777779,188.44444444444446,14.111111111111114,14.111111111111114,14.111111111111114,1.6666666666666667,1.0,3.222222222222222,13.333333333333334,9.555555555555557,0.3444444444444444,75.33333333333333,75.33333333333333,77.55555555555556,17.0,3.0,0.0,0.0
2017,5,3.888888888888889,3.888888888888889,3.888888888888889,1.0,46.11111111111111,6.222222222222222,31.88888888888889,7.222222222222221,1.0,13.0,0.3333333333333333,0.0,3.6666666666666665,14.666666666666666,0.0,1.6666666666666667,1.1111111111111112,16.333333333333332,28.333333333333332,0.0,1.222222222222222,0.0,15.111111111111109,707.2222222222222,71.77777777777777,523.5555555555557,76.77777777777777,428.8888888888889,111.88888888888887,180.77777777777774,284.22222222222223,95.77777777777779,188.44444444444446,14.111111111111114,14.111111111111114,14.111111111111114,1.6666666666666667,1.0,3.222222222222222,13.333333333333334,9.555555555555557,0.3444444444444444,75.33333333333333,75.33333333333333,77.55555555555556,17.0,3.0,0.0,0.0
2017,6,3.333333333333333,3.333333333333333,3.333333333333333,1.0,41.333333333333336,6.0,27.66666666666667,7.333333333333332,1.0,13.333333333333336,0.3333333333333333,0.0,4.0,18.33333333333333,0.0,2.0,1.6666666666666667,20.33333333333333,32.333333333333336,0.0,1.3333333333333333,0.0,19.0,742.3333333333335,75.33333333333333,533.6666666666666,88.33333333333331,435.66666666666674,133.33333333333334,183.66666666666663,284.0,102.33333333333331,181.66666666666663,12.333333333333336,12.333333333333336,12.333333333333336,1.6666666666666667,1.0,3.0,20.0,14.333333333333336,0.4,73.66666666666667,73.66666666666667,75.33333333333333,21.0,3.0,0.0,0.0
