,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2017,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,10,0.0,0.0,2.0379436342434326e-15,0.0,1.6576031788275513e-15,0.0,1.5297674580953459e-15,1.0,0.0,1.0,3.8441830826814286e-16,1.0,1.0,1.3283025473193807e-15,6.594409809387004e-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,0.9999999999999993,1.0,1.0,1.0,1.0,0.999999999999991,1.0,1.0,1.0,0.9999999999999991,0.0,0.9999999999999992,0.9999999999999992,1.0,1.0,1.0,1.0,0.0
2017,11,5.721918665375993e-15,5.721918665375993e-15,0.0,0.0,0.0,4.945807357040257e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999993,1.0,1.0,0.0,4.945807357040257e-17,0.9999999999999997,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.149853833811708e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2017,12,5.721918665375993e-15,5.721918665375993e-15,0.0,0.0,0.0,4.945807357040257e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999993,1.0,1.0,0.0,4.945807357040257e-17,0.9999999999999997,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.149853833811708e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,1,5.721918665375993e-15,5.721918665375993e-15,0.0,0.0,0.0,4.945807357040257e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999993,1.0,1.0,0.0,4.945807357040257e-17,0.9999999999999997,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.149853833811708e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,2,5.721918665375993e-15,5.721918665375993e-15,0.0,0.0,0.0,4.945807357040257e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999993,1.0,1.0,0.0,4.945807357040257e-17,0.9999999999999997,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.149853833811708e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,3,5.721918665375993e-15,5.721918665375993e-15,0.0,0.0,0.0,4.945807357040257e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999993,1.0,1.0,0.0,4.945807357040257e-17,0.9999999999999997,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.149853833811708e-14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
