,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2014,10,1.2857142857142858,1.2142857142857142,1.3571428571428572,1.0,10.0,0.2857142857142857,6.571428571428571,2.7142857142857144,1.7142857142857142,3.7142857142857135,1.1428571428571428,0.0,18.0,1.2857142857142858,3.0,4.571428571428571,1.6428571428571428,5.857142857142858,17.857142857142858,0.0,0.6428571428571429,0.35714285714285715,4.857142857142857,87.7857142857143,10.571428571428571,49.0,17.571428571428573,28.714285714285715,28.357142857142854,20.928571428571427,30.785714285714285,14.571428571428573,16.214285714285715,3.071428571428572,2.7142857142857144,3.3571428571428568,1.2857142857142858,1.5,1.0714285714285714,41.42857142857143,34.214285714285715,0.5650000000000001,8.785714285714286,8.428571428571429,9.071428571428571,6.142857142857142,15.0,0.009407909132682512,0.0
2014,11,1.25,1.25,1.375,1.0,10.25,0.0,7.25,2.375,1.875,3.875,1.375,0.0,9.0,0.0,4.125,5.125,2.25,5.125,17.125,0.0,1.0,0.375,3.75,87.0,9.5,54.875,20.625,34.0,22.875,23.25,32.875,15.875,17.0,3.0,3.0,3.5,1.5,1.5,1.25,45.75,45.125,0.39125,8.375,8.375,8.875,5.625,8.0,0.01740145186583201,0.0
2014,12,1.125,1.125,1.25,1.0,9.875,0.0,7.375,2.125,1.75,3.75,1.375,0.0,9.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.0,0.375,3.625,82.125,9.625,53.5,20.625,33.25,19.25,22.25,31.375,15.875,15.5,3.0,3.0,3.5,1.5,1.5,1.25,46.75,46.375,0.35625,7.875,7.875,8.375,5.5,8.0,0.01740145186583201,0.0
2015,1,1.125,1.125,1.25,1.0,9.875,0.0,7.375,2.125,1.75,3.75,1.375,0.0,9.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.0,0.375,3.625,82.125,9.625,53.5,20.625,33.25,19.25,22.25,31.375,15.875,15.5,3.0,3.0,3.5,1.5,1.5,1.25,46.75,46.375,0.35625,7.875,7.875,8.375,5.5,8.0,0.01740145186583201,0.0
2015,2,1.125,1.125,1.25,1.0,9.875,0.0,7.375,2.125,1.75,3.75,1.375,0.0,9.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.0,0.375,3.625,82.125,9.625,53.5,20.625,33.25,19.25,22.25,31.375,15.875,15.5,3.0,3.0,3.5,1.5,1.5,1.25,46.75,46.375,0.35625,7.875,7.875,8.375,5.5,8.0,0.01740145186583201,1.0
2015,3,1.125,1.125,1.25,1.0,9.875,0.0,7.375,2.125,1.75,3.75,1.375,0.0,10.0,0.0,4.125,5.125,2.25,5.125,17.125,0.0,1.125,0.375,3.625,83.625,9.75,54.5,20.875,33.875,19.625,22.625,32.0,16.25,15.75,3.0,3.0,3.5,1.5,1.5,1.25,47.375,47.0,0.35875,8.0,8.0,8.5,5.625,8.0,0.015661306679248806,2.0
2015,4,1.125,1.125,1.25,1.0,9.875,0.0,7.375,2.125,1.75,3.75,1.375,0.0,10.0,0.0,4.125,5.125,2.25,5.125,17.125,0.0,1.125,0.375,3.625,83.625,9.75,54.5,20.875,33.875,19.625,22.625,32.0,16.25,15.75,3.0,3.0,3.5,1.5,1.5,1.25,47.375,47.0,0.35875,8.0,8.0,8.5,5.625,8.0,0.015661306679248806,2.0
2015,5,1.125,1.125,1.25,1.0,10.125,0.0,7.5,2.125,1.75,3.75,1.375,0.0,10.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.125,0.375,3.5,83.125,9.625,54.125,20.625,33.875,19.625,22.625,31.875,16.125,15.75,3.0,3.0,3.5,1.5,1.5,1.25,47.0,46.625,0.36000000000000004,7.875,7.875,8.375,5.5,8.0,0.015661306679248806,2.0
2015,6,1.125,1.125,1.25,1.0,10.125,0.0,7.5,2.125,1.75,3.75,1.375,0.0,10.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.125,0.375,3.5,83.125,9.625,54.125,20.625,33.875,19.625,22.625,31.875,16.125,15.75,3.0,3.0,3.5,1.5,1.5,1.25,47.0,46.625,0.36000000000000004,7.875,7.875,8.375,5.5,8.0,0.015661306679248806,2.0
2015,7,1.125,1.125,1.25,1.0,10.125,0.0,7.5,2.125,1.75,3.75,1.375,0.0,10.0,0.0,4.125,5.0,2.25,5.0,17.0,0.0,1.125,0.375,3.5,83.0,9.625,54.0,20.625,33.75,19.625,22.5,31.75,16.125,15.625,3.0,3.0,3.5,1.5,1.5,1.25,47.0,46.625,0.36000000000000004,7.875,7.875,8.375,5.5,8.0,0.015661306679248806,2.0
