,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2014,10,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2014,11,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2014,12,1.5,1.2,1.5,1.0,11.199999999999998,0.8000000000000002,8.1,2.1,1.3999999999999997,4.0,1.3,0.10000000000000002,13.0,2.2,1.6000000000000003,4.8,2.5,7.0,19.3,0.0,0.6999999999999998,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.29999999999999,16.0,29.3,5.599999999999999,2.7999999999999994,5.599999999999999,1.2,1.6000000000000003,1.2,41.5,30.399999999999995,0.516,12.800000000000002,10.0,12.9,7.2,11.0,8.28650148692899e-05,0.0
2015,1,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2015,2,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2015,3,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2015,4,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2015,5,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,0.0
2015,6,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,7,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,8,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,9,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,10,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,11,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,12,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,1,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,2,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,3,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
