,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2017,8,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0036583992769010365,0.0
2017,9,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2017,10,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2017,11,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2017,12,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2018,1,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2018,2,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2018,3,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2018,4,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
2018,5,1.3125,1.3125,1.375,1.0625,10.75,0.875,9.125,0.5625,1.125,4.375,2.125,0.0,29.0,0.625,1.8125,6.0,3.0,6.625,19.0,0.0625,1.0,0.375,5.1875,87.125,11.8125,67.9375,22.875,38.9375,8.1875,26.3125,37.1875,17.3125,19.875,1.75,1.75,1.875,1.25,1.6875,0.625,32.3125,29.5625,0.15875000000000006,7.6875,7.6875,7.8125,6.875,18.0,0.0008572133434615259,0.0
