,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2013,10,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2013,11,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2013,12,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,3,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,4,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,6,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,7,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,8,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,9,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,10,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,11,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2014,12,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2015,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2389574646949768,0.0
2015,2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.37634290382266045,0.0
2015,3,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,4,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,6,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,7,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,8,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,9,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,10,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,11,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2015,12,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,2,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,3,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,4,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,6,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,7,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,1.0,13.0,0.0,0.0,0.0,1.0,6.5,1.0,5.5,2.5,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.422138050198555,0.0
2016,8,1.0,1.0,1.0,1.0,3.4,0.2,3.1999999999999993,0.0,1.0,1.4,0.0,0.0,2.6,0.39999999999999997,0.0,0.5999999999999999,0.2,1.0,13.0,0.0,0.0,0.0,1.0,7.600000000000001,1.4000000000000001,6.200000000000001,2.999999999999999,1.1999999999999997,0.0,1.1999999999999997,3.1999999999999993,2.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.6,0.33771044015884405,0.0
