,,Java,Classes,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,Readability,DIT,questions
2013,7,0.0,0.0,0.9900872323552735,0.9896265560165975,1.0,0.4585020242914982,0.8275862068965517,0.0,0.3055555555555556,0.9919871794871795,0.7475365612246739,0.0,0.0
2013,8,0.0,0.0,1.0,1.0,1.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,1.0,0.7723713027891236,0.0,0.0
2013,9,0.0,0.0,1.0,1.0,1.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,1.0,0.7723713027891231,0.0,0.0
2013,10,0.0,0.0,1.0,1.0,1.0,0.473684210526316,1.0,0.0,0.3055555555555556,1.0,0.6693928782549637,0.0,0.0
2013,11,0.0,0.0,1.0,1.0,1.0,0.473684210526316,1.0,0.0,0.3055555555555556,1.0,0.6693928782549637,0.0,0.14285714285714285
2013,12,0.0,0.0,1.0,1.0,1.0,0.473684210526316,1.0,0.0,0.3055555555555556,1.0,0.6693928782549637,0.0,0.14285714285714285
2014,1,0.0,0.0,1.0,1.0,1.0,0.473684210526316,1.0,0.0,0.3055555555555556,1.0,0.6693928782549637,0.0,0.14285714285714285
2014,2,0.0,0.0,1.0,1.0,1.0,0.473684210526316,1.0,0.0,0.3055555555555556,1.0,0.6693928782549637,0.0,0.14285714285714285
2014,3,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.14285714285714285
2014,4,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.2857142857142857
2014,5,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,6,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,7,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,8,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,9,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,10,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
2014,11,0.0,0.0,0.38144329896907214,0.4190871369294607,0.0,0.473684210526316,0.8275862068965517,0.0,0.3055555555555556,0.16666666666666663,0.6693928782549637,0.0,0.42857142857142855
