,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2013,8,1.0,1.0,1.0,1.0,3.6666666666666665,0.0,3.6666666666666665,0.0,1.0,2.1666666666666665,0.5,0.0,6.0,0.0,0.0,3.3333333333333326,0.8333333333333334,3.3333333333333326,15.333333333333337,0.0,0.0,0.6666666666666666,2.6666666666666665,30.5,7.5,21.0,10.333333333333334,8.833333333333334,2.3333333333333326,9.166666666666666,13.5,7.166666666666669,6.333333333333332,1.0,1.0,1.0,1.0,1.3333333333333333,0.0,13.333333333333337,11.666666666666664,0.06833333333333334,3.3333333333333326,3.3333333333333326,3.3333333333333326,3.3333333333333326,6.0,0.34178583646037924,0.0
2013,9,1.0,1.0,1.0,1.0,3.6666666666666665,0.0,3.6666666666666665,0.0,1.0,2.1666666666666665,0.5,0.0,6.0,0.0,0.0,3.3333333333333326,0.8333333333333334,3.3333333333333326,15.333333333333337,0.0,0.0,0.6666666666666666,2.6666666666666665,30.5,7.5,21.0,10.333333333333334,8.833333333333334,2.3333333333333326,9.166666666666666,13.5,7.166666666666669,6.333333333333332,1.0,1.0,1.0,1.0,1.3333333333333333,0.0,13.333333333333337,11.666666666666664,0.06833333333333334,3.3333333333333326,3.3333333333333326,3.3333333333333326,3.3333333333333326,6.0,0.34178583646037924,0.0
2013,10,1.0,1.0,1.0,1.0,3.6666666666666665,0.0,3.6666666666666665,0.0,1.0,2.1666666666666665,0.5,0.0,6.0,0.0,0.0,3.3333333333333326,0.8333333333333334,3.3333333333333326,15.333333333333337,0.0,0.0,0.6666666666666666,2.6666666666666665,30.5,7.5,21.0,10.333333333333334,8.833333333333334,2.3333333333333326,9.166666666666666,13.5,7.166666666666669,6.333333333333332,1.0,1.0,1.0,1.0,1.3333333333333333,0.0,13.333333333333337,11.666666666666664,0.06833333333333334,3.3333333333333326,3.3333333333333326,3.3333333333333326,3.3333333333333326,6.0,0.34178583646037924,0.0
2013,11,1.0,1.0,1.0,1.0,3.3386363636363634,0.0,3.293181818181818,0.0,1.1454545454545455,2.0590909090909095,0.4272727272727272,0.0,8.0,0.14545454545454545,0.0,1.9727272727272729,0.6636363636363636,2.1181818181818177,14.118181818181816,0.0,0.0,0.18181818181818185,1.9363636363636363,16.96136363636364,4.172727272727273,12.243181818181816,5.963636363636365,4.134090909090909,0.7818181818181819,4.661363636363636,7.779545454545454,4.472727272727273,3.306818181818182,1.0,1.0,1.0,1.0,1.090909090909091,0.0,5.136363636363637,4.681818181818182,0.02868181818181819,2.1181818181818177,2.1181818181818177,2.1181818181818177,2.1181818181818177,8.0,0.3981735432748048,0.0
2013,12,1.0,1.0,1.0,1.0,3.0545454545454547,0.0,3.0545454545454547,0.09090909090909091,1.1999999999999997,1.8000000000000005,0.39999999999999997,0.0,5.0,0.19999999999999998,0.0,1.5999999999999999,0.5090909090909093,1.8000000000000005,13.8,0.0,0.0,0.0,1.8000000000000005,12.018181818181818,3.0,9.018181818181816,4.509090909090909,2.0181818181818185,0.19999999999999998,2.527272727272727,5.327272727272727,3.4181818181818184,1.9090909090909094,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.020545454545454544,1.8000000000000005,1.8000000000000005,1.8000000000000005,1.8000000000000005,5.0,0.4513540574508212,0.0
2014,1,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.2,1.2,1.8,0.4,0.0,5.0,0.2,0.0,1.6,0.4,1.8,13.8,0.0,0.0,0.0,1.8,11.8,3.0,8.8,4.4,1.8,0.2,2.2,5.0,3.2,1.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.026,1.8,1.8,1.8,1.8,5.0,0.4898686208063737,1.0
2014,2,1.0,1.0,1.0,1.0,3.025,0.0,3.025,0.19999999999999998,1.175,1.8000000000000003,0.39999999999999997,0.0,5.0,0.19999999999999998,0.0,1.5499999999999998,0.39999999999999997,1.7500000000000002,13.75,0.0,0.0,0.0,1.7500000000000002,11.6,2.95,8.649999999999999,4.3,1.8000000000000003,0.19999999999999998,2.1999999999999997,4.95,3.15,1.8000000000000003,1.0,1.0,1.0,1.0,1.025,0.0,0.0,0.0,0.026,1.7500000000000002,1.7500000000000002,1.7500000000000002,1.7500000000000002,5.0,0.4873502820642899,1.0
2014,3,1.0,1.0,1.0,1.0,3.2,0.0,3.2,0.2,1.0,1.8,0.4,0.0,5.0,0.2,0.0,1.2,0.4,1.4,13.4,0.0,0.0,0.0,1.4,10.2,2.6,7.6,3.6,1.8,0.2,2.2,4.6,2.8,1.8,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.026000000000000002,1.4,1.4,1.4,1.4,5.0,0.4697219108697027,1.0
2014,4,1.0,1.0,1.0,1.0,3.2000000000000006,0.0,3.2000000000000006,0.20000000000000004,1.0,1.8,0.4000000000000001,0.0,5.0,0.20000000000000004,0.0,1.2,0.4000000000000001,1.3999999999999997,13.4,0.0,0.0,0.0,1.3999999999999997,10.2,2.6,7.599999999999999,3.6,1.8,0.20000000000000004,2.2,4.6,2.7999999999999994,1.8,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.026,1.3999999999999997,1.3999999999999997,1.3999999999999997,1.3999999999999997,5.0,0.4697219108697028,1.0
2014,5,1.0,1.0,1.0,1.0,3.2,0.0,3.2,0.2,1.0,1.8,0.4,0.0,5.0,0.2,0.0,1.2,0.4,1.4,13.4,0.0,0.0,0.0,1.4,10.2,2.6,7.6,3.6,1.8,0.2,2.2,4.6,2.8,1.8,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.026,1.4,1.4,1.4,1.4,5.0,0.4697219108697027,1.0
