,,Buse Readability,Scalabrino Readability,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,Executable Line of Code,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2014,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2014,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2014,11,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2014,12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,5,1.0,0.03580827462400256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,6,1.0,0.03580827462400256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,7,1.0,0.03580827462400256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
