,correlation,pvalue
AvgCyclomatic,0.5121854756798824,0.00000024672052674973
AvgCyclomaticModified,0.5116331163695896,0.00000025543653486121
AvgCyclomaticStrict,0.5122349406927443,0.00000024595391505368
AvgEssential,0.4895819797955033,0.00000097285149305385
AvgLine,0.5019049971733907,0.00000046614539850867
AvgLineBlank,0.4207263984996871,0.00003644835278672641
AvgLineCode,0.5067855451091108,0.00000034551926149148
AvgLineComment,0.4940400601283279,0.00000074798397687383
CountClassBase,0.5135210310271571,0.00000022679761113393
CountClassCoupled,0.4785162902584611,0.00000183878633551054
CountClassCoupledModified,0.4856557404482139,0.00000122252020241069
CountClassDerived,0.2238398991385056,0.03393543577803021655
CountDeclClass,,nan
CountDeclClassMethod,0.4122348696760891,0.00005409335891893769
CountDeclClassVariable,0.5030344483004069,0.00000043511600755290
CountDeclExecutableUnit,,nan
CountDeclFile,,nan
CountDeclFunction,,nan
CountDeclInstanceMethod,0.49146787945950243,0.00000087086874022058
CountDeclInstanceVariable,0.48420476673759444,0.00000132925688304879
CountDeclMethod,0.4951365345801029,0.00000070075739637463
CountDeclMethodAll,0.5039577952071648,0.00000041121398672729
CountDeclMethodDefault,-0.05946567912087282,0.57769947944040489496
CountDeclMethodPrivate,0.49224122860009184,0.00000083204660891333
CountDeclMethodProtected,0.5283275582105246,0.00000008701150813811
CountDeclMethodPublic,0.48372660494659486,0.00000136631974065486
CountInput,,nan
CountLine,0.5145020871155873,0.00000021314639147339
CountLineBlank,0.50359505177951,0.00000042045167696841
CountLineCode,0.5159118399821553,0.00000019488926522079
CountLineCodeDecl,0.518879740753877,0.00000016118987291911
CountLineCodeExe,0.5183026489371534,0.00000016727507129171
CountLineComment,0.518492264819791,0.00000016525197330149
CountOutput,,nan
CountPath,,nan
CountPathLog,,nan
CountSemicolon,0.5181377655609465,0.00000016905339244213
CountStmt,0.5148628275018754,0.00000020832584094026
CountStmtDecl,0.5169835819274993,0.00000018201394954040
CountStmtExe,0.5116743372136414,0.00000025477612571143
Cyclomatic,,nan
CyclomaticModified,,nan
CyclomaticStrict,,nan
Essential,,nan
Knots,,nan
MaxCyclomatic,0.5005199768132538,0.00000050706157106445
MaxCyclomaticModified,0.5004540234627711,0.00000050909244578611
MaxCyclomaticStrict,0.5017813346412355,0.00000046966736868704
MaxEssential,0.46866450853010694,0.00000318188793999319
MaxEssentialKnots,,nan
MaxInheritanceTree,0.5245599730642,0.00000011151430157610
MaxNesting,0.5149884930753973,0.00000020667102870963
MinEssentialKnots,,nan
PercentLackOfCohesion,0.5041968761026646,0.00000040523106778674
PercentLackOfCohesionModified,0.5036362726235616,0.00000041939211643352
RatioCommentToCode,0.5375198064340516,0.00000004689305453368
SumCyclomatic,0.49421318767334504,0.00000074033202531403
SumCyclomaticModified,0.4941719668292934,0.00000074214716830224
SumCyclomaticStrict,0.49806321450777297,0.00000058813894455854
SumEssential,0.47956329969737405,0.00000173293874104141
numberJavaFiles,0.4969090308743256,0.00000063033415308755
readability,-0.4912687209565791,0.00000088114054654777
questions,0.9999999999999999,0.00000000000000000000
