AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,38d54903787ac197ab3899504acfdbd0448f70b0,2016-03-09 09:38:49-08:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,e5f481beaaa456ed4f7c00b222c0ec388d4ce9b4,2016-04-13 09:44:55-07:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,24910e0c63f3b0e4b6330315d04bc0d95f9e977c,2016-04-25 19:14:23-07:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,5637f1374fc1e353791e58e31c29c4d47a0af317,2016-05-13 10:05:09+09:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,f9aadd19716eb722dc550583e8d17d2c1237c6b9,2016-05-13 10:05:54+09:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,85f95fa4d7120b8c208f0e4e5ca70650b8668846,2016-05-18 11:43:16-07:00,0.0008233728197713693
14.0,14.0,14.0,9.0,108.0,1.0,93.0,13.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,711,78,524,201,306,109,0.0,0.0,0.0,260,353,167,186,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.32,55,55,59,44,9,f7a57ea14d86a88fb37be3d08f6cf2ca93b6fe61,2016-05-23 14:47:20+09:00,0.0008233728197713693
14.0,14.0,14.0,9.0,108.0,1.0,93.0,13.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,711,78,524,201,306,109,0.0,0.0,0.0,260,353,167,186,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.32,55,55,59,44,9,86aa2be31dc1cfb9d13d3f877d69636f931587d6,2016-05-23 14:49:42+09:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,4076851879424628394bb480f8789a461b681dd8,2016-06-15 09:41:55-07:00,0.0008233728197713693
14.0,14.0,14.0,9.0,102.0,1.0,89.0,11.0,11.0,56.0,23.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,37.0,22.0,40.0,148.0,0.0,0.0,3.0,37.0,0.0,697,78,514,200,296,105,0.0,0.0,0.0,250,343,166,177,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.0,13.0,0.0,15.0,7,0.0,274.0,274.0,2.2800000000000002,55,55,59,44,9,737ab9a214debbf3c940360b834077ccc3035ff3,2016-08-12 15:18:31-07:00,0.0008233728197713693
