AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,07d4e2cf19d86ee99f41dffe20878e19f90bbb0e,2014-09-02 11:01:46-07:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,79fec06a6d9cd66f0947306e928268d593215f1b,2014-11-18 16:21:09-08:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,d3aa2233d8cb20e666cffc81de3c13e09af2c0ad,2014-12-03 01:59:44-08:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,6a59c58a233996be008e9d6a01e1cbb82ab243c5,2014-12-05 15:07:42-08:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,0efac9459ac1c44f1f89516b02938fbc30d02631,2014-12-08 17:53:03-08:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,145.0,12.0,58.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,7.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,648,82,274,88,152,293,0.0,0.0,0.0,122,185,83,102,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,7.84,57,52,57,42,8,e33eb34531222222bebb76a1a67d52292ceb5f38,2015-01-21 12:15:20-08:00,1.684247763478197e-05
9.0,8.0,9.0,7.0,144.0,12.0,57.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,6.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,650,84,271,87,149,296,0.0,0.0,0.0,119,182,82,100,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,8.2,57,52,57,42,8,24ca474afea8bd4ca159251593ac47ee5b376929,2015-03-30 17:46:01-07:00,0.0005243770756351296
9.0,8.0,9.0,7.0,144.0,12.0,57.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,6.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,650,84,271,87,149,296,0.0,0.0,0.0,119,182,82,100,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,8.2,57,52,57,42,8,0f41bae495178145146dfc790ba5739180dfff1a,2015-04-28 10:57:13-07:00,0.0005243770756351296
9.0,8.0,9.0,7.0,144.0,12.0,57.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,6.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,650,84,271,87,149,296,0.0,0.0,0.0,119,182,82,100,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,8.2,57,52,57,42,8,51b5d71a0cfcc40e8a453a5227b2f21f6b1d1256,2015-05-21 10:05:33-07:00,0.0005243770756351296
9.0,8.0,9.0,7.0,144.0,12.0,57.0,75.0,10.0,22.0,4.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,24.0,6.0,42.0,126.0,0.0,1.0,2.0,39.0,0.0,650,84,271,87,149,296,0.0,0.0,0.0,119,182,82,100,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,7.0,0.0,11.0,5,0.0,247.0,151.0,8.2,57,52,57,42,8,cf2772efdb9b783dd212b99ae88c3a1ded43bbac,2015-05-28 12:00:46-07:00,0.0005243770756351296
