Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,2.0,2.0,2.0,2.0,10.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,10.0,34.0,0.0,0.0,4.0,6.0,0.0,142.0,16.0,65.0,25.0,28.0,61.0,0.0,0.0,0.0,27.0,41.0,18.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,4.0,1.0,0.0,75.0,68.0,1.7,12.0,12.0,12.0,10.0,2,15b23820828b54bedb6a2aacfa0d3b923b80d915,2014-10-15 17:05:01-07:00,0.24073445796966553
,,4.0,4.0,4.0,4.0,22.0,0.0,16.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,11.0,26.0,74.0,0.0,0.0,11.0,15.0,0.0,378.0,44.0,168.0,63.0,77.0,166.0,0.0,0.0,0.0,73.0,108.0,45.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,4.0,0.0,8.0,2.0,0.0,152.0,132.0,3.4800000000000004,31.0,31.0,32.0,26.0,4,26d70ac176b9a3e9d458714c520fc88a75e54552,2014-10-19 12:23:42-07:00,0.19615106284618378
,,4.0,4.0,4.0,4.0,21.0,0.0,16.0,4.0,8.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,9.0,20.0,68.0,0.0,0.0,8.0,12.0,0.0,379.0,43.0,170.0,61.0,82.0,166.0,0.0,0.0,0.0,71.0,107.0,46.0,61.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,8.0,3.0,0.0,152.0,137.0,3.32,25.0,25.0,25.0,22.0,4,c567434094c2f13bb0ad0039c303aeb63ec68ea9,2014-10-27 14:14:43-07:00,0.19923067092895508
,,6.0,6.0,6.0,6.0,33.0,0.0,24.0,7.0,13.0,8.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,36.0,15.0,36.0,108.0,0.0,0.0,15.0,21.0,0.0,615.0,71.0,273.0,99.0,131.0,271.0,0.0,0.0,0.0,117.0,174.0,73.0,101.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,8.0,0.0,12.0,4.0,0.0,229.0,201.0,5.1000000000000005,44.0,44.0,45.0,38.0,6,80e90f777f20a161a85ac6d4d10be13b641ef3eb,2014-11-12 18:55:17+00:00,0.18334300319353738
,,5.0,5.0,5.0,5.0,30.0,0.0,21.0,7.0,12.0,8.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0,15.0,35.0,95.0,0.0,0.0,15.0,20.0,0.0,608.0,71.0,269.0,97.0,130.0,268.0,0.0,0.0,0.0,116.0,171.0,71.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,7.0,0.0,10.0,4.0,0.0,229.0,201.0,4.35,43.0,43.0,44.0,37.0,5,0bdd91a2d26dc2fd0df69203f97364a597a13a51,2014-11-18 08:57:35-08:00,0.26976433396339417
,,6.0,6.0,6.0,6.0,36.0,0.0,25.0,9.0,13.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,41.0,19.0,41.0,113.0,0.0,3.0,15.0,23.0,0.0,747.0,86.0,336.0,111.0,172.0,325.0,0.0,0.0,0.0,152.0,222.0,85.0,137.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,12.0,5.0,0.0,232.0,205.0,5.03,57.0,57.0,58.0,43.0,6,96d50178acfcee14fb065d786af4d5e41edd9a2a,2014-11-15 09:45:51-08:00,0.18334300319353738
,,5.0,5.0,5.0,5.0,33.0,0.0,22.0,9.0,12.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,40.0,19.0,40.0,100.0,0.0,3.0,15.0,22.0,0.0,740.0,86.0,332.0,109.0,171.0,322.0,0.0,0.0,0.0,151.0,219.0,83.0,136.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,7.0,0.0,10.0,5.0,0.0,232.0,205.0,4.279999999999999,56.0,56.0,57.0,42.0,5,3997c871f5d2f8a36c3988d24b900a34979df0a1,2014-11-19 01:00:01+00:00,0.26976433396339417
,,5.0,5.0,5.0,5.0,33.0,0.0,22.0,9.0,12.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,40.0,19.0,40.0,100.0,0.0,3.0,15.0,22.0,0.0,740.0,86.0,332.0,109.0,171.0,322.0,0.0,0.0,0.0,151.0,219.0,83.0,136.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,7.0,0.0,10.0,5.0,0.0,232.0,205.0,4.279999999999999,56.0,56.0,57.0,42.0,5,ed10351959f3bd5eda9b5885e1f925960266afb6,2014-11-18 09:56:41-08:00,0.26976433396339417
,,5.0,5.0,5.0,5.0,33.0,0.0,22.0,8.0,12.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,39.0,18.0,39.0,99.0,0.0,3.0,14.0,22.0,0.0,721.0,84.0,326.0,107.0,168.0,311.0,0.0,0.0,0.0,147.0,214.0,81.0,133.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,7.0,0.0,10.0,5.0,0.0,225.0,202.0,4.18,55.0,55.0,56.0,41.0,5,f2f495d66f8c3d0a77492391d7c0195b0235623c,2014-11-26 15:46:27-08:00,0.26976433396339417
,,9.0,9.0,9.0,7.0,72.0,3.0,43.0,23.0,15.0,21.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,45.0,20.0,45.0,141.0,0.0,3.0,18.0,24.0,0.0,836.0,101.0,374.0,127.0,195.0,361.0,0.0,0.0,0.0,172.0,249.0,99.0,150.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,21.0,11.0,0.0,15.0,6.0,0.0,262.0,237.0,6.3500000000000005,66.0,66.0,69.0,49.0,8,9c56d779c469337a480dfc0058edc515e35564e1,2014-11-12 22:39:32-08:00,0.21994540095329285
