Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,3b40e64fe44543329facbd52a4fe6a815fd0bb32,2014-07-22 17:59:48+01:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,8e56e9d37c1f2f7afe0875f703ce5f5691b9f17d,2014-08-01 10:19:01+01:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,93ec6e212def2c5188fb8991119abe9e4ac4b30b,2014-08-08 14:19:37-05:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,704847c1623a751d8591a5ccb263fe96f8782eab,2014-08-08 22:52:24+01:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,fbb3ca462404982bf16d1917746be731b9710d4c,2014-08-10 17:32:31+01:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,39492d531087185d20a496ce706e9effbffd1eb0,2014-11-23 11:38:01+01:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,05f7cf2fe3dec84b2d8d77642eec9e3d62ca6ad9,2014-11-23 11:47:15+00:00,0.0001327035230739663
,,11.0,11.0,11.0,6.0,238.0,27.0,184.0,31.0,6.0,43.0,8.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0,83.0,0.0,5.0,2.0,4.0,0.0,480.0,69.0,279.0,127.0,226.0,137.0,0.0,0.0,0.0,124.0,150.0,99.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,6.0,0.0,6.0,6.0,0.0,58.0,33.0,5.550000000000001,19.0,19.0,21.0,11.0,6,9d7dd65aa0e3f4e7d91905c1edfbca5976f2c6df,2018-04-27 15:37:33+01:00,0.0001327035230739663
,,22.0,22.0,22.0,12.0,480.0,53.0,374.0,61.0,12.0,90.0,16.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,2.0,0.0,22.0,166.0,0.0,10.0,4.0,8.0,0.0,964.0,137.0,564.0,250.0,459.0,273.0,0.0,0.0,0.0,243.0,295.0,196.0,99.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,12.0,0.0,12.0,12.0,0.0,116.0,66.0,11.040000000000001,38.0,38.0,42.0,22.0,12,a5524f5871bf0a8a7bf8d05d7ffd85a11dfa1832,2018-05-18 12:35:44+01:00,0.0001327035230739663
,,22.0,22.0,22.0,12.0,480.0,53.0,374.0,61.0,12.0,90.0,16.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,2.0,0.0,22.0,166.0,0.0,10.0,4.0,8.0,0.0,964.0,137.0,564.0,250.0,459.0,273.0,0.0,0.0,0.0,243.0,295.0,196.0,99.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,12.0,0.0,12.0,12.0,0.0,116.0,66.0,11.040000000000001,38.0,38.0,42.0,22.0,12,1e7d12936686b6bd21a1d1f5c9038b6484425fbb,2018-05-22 11:28:07+01:00,0.0001327035230739663
,,22.0,22.0,22.0,12.0,480.0,53.0,374.0,61.0,12.0,90.0,16.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,2.0,0.0,22.0,166.0,0.0,10.0,4.0,8.0,0.0,964.0,137.0,564.0,250.0,459.0,273.0,0.0,0.0,0.0,243.0,295.0,196.0,99.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,12.0,0.0,12.0,12.0,0.0,116.0,66.0,11.040000000000001,38.0,38.0,42.0,22.0,12,357e081c4adb3e6773444f9b93fda443a8256c8a,2019-01-31 11:42:42+01:00,0.0001327035230739663
,,22.0,22.0,22.0,12.0,480.0,53.0,374.0,61.0,12.0,90.0,16.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,2.0,0.0,22.0,166.0,0.0,10.0,4.0,8.0,0.0,964.0,137.0,564.0,250.0,459.0,273.0,0.0,0.0,0.0,243.0,295.0,196.0,99.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,12.0,0.0,12.0,12.0,0.0,116.0,66.0,11.040000000000001,38.0,38.0,42.0,22.0,12,99b1a647e8a471bb2ec1acb8e92c3c36b0ee121b,2019-02-04 21:21:32+00:00,0.0001327035230739663
,,22.0,22.0,22.0,12.0,480.0,53.0,374.0,61.0,12.0,90.0,16.0,0.0,0.0,20.0,58.0,0.0,0.0,0.0,2.0,0.0,22.0,166.0,0.0,10.0,4.0,8.0,0.0,964.0,137.0,564.0,250.0,459.0,273.0,0.0,0.0,0.0,243.0,295.0,196.0,99.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,12.0,0.0,12.0,12.0,0.0,116.0,66.0,11.040000000000001,38.0,38.0,42.0,22.0,12,b3308287946cbb477ba967d492210434c1957bd0,2019-02-25 11:50:23+00:00,0.0001327035230739663
