Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,7729a8cea057483b41de9dc208d585d80070ea60,2014-06-19 22:23:16+00:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,fa308b87faa39d5de3f31e4043fd95721330b5ad,2014-07-01 11:28:29-04:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,40935f8cc5b55fb0fe9b6ee5023936bc5dadebae,2014-07-14 11:28:55-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,70b145dd2d7062491e85edf47cf5e64b6df70c75,2014-07-14 11:31:52-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,7a99f7ca2d111a1aa42c7b1e17cf918aa750a6bc,2014-07-14 11:32:52-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,1f39350725bd1bfcb8736b64f77a61a9c824bace,2014-07-22 21:37:58-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,7765146a2dc38ad5d45eefe34bee7bded7652021,2014-07-22 21:39:10-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,5d91e9b83c96180da9658aaa8ec3792410a0efae,2014-07-22 21:47:14-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,cd4af9fccf39217778aa401eb4024de04ea9a574,2014-07-22 21:47:51-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,6396d80c259449d40d4866f70d260d6304ee2da7,2014-07-22 22:01:15-07:00,0.004471629831210808
,,24.0,23.0,24.0,20.0,179.0,12.0,153.0,9.0,23.0,106.0,31.0,0.0,0.0,13.0,55.0,0.0,0.0,0.0,110.0,54.0,123.0,351.0,0.0,30.0,20.0,73.0,0.0,1728.0,258.0,1402.0,459.0,841.0,69.0,0.0,0.0,0.0,674.0,937.0,420.0,517.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,59.0,33.0,0.0,33.0,24.0,0.0,725.0,637.0,1.75,182.0,175.0,186.0,137.0,19,173e8f184295efecf5b0b928b591d0314f9c9e40,2014-07-22 22:05:27-07:00,0.004471629831210808
