framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,769e75def737d45e105f9b78335042a1179aad2d,2018-11-26 09:55:42-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,ec860bf63e5cc402e3acffc5e5658b9ab62f0dd4,2018-11-26 09:55:47-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,bea9d5df65aa9c8f514f2ac3b91943163316f267,2018-11-26 09:55:47-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,17b72f346585cadcdbd049d54b32a92fb3aa3527,2018-11-26 09:55:48-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,af551de8b29ecfef2ea6aead6411d2b0bb79c722,2018-11-26 09:55:49-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,0954dfe596d3ee4187c46eb0d7c83e8c4206a758,2018-11-26 09:55:50-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,0e39a57d204db33efc49dbade8c06c863b06dddf,2018-11-26 09:55:51-08:00,0,0,0,0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,6995362f8fa13bbe9b31becf4f916019059fe3b6,2018-12-11 14:29:27-08:00,3,127.33333333333333,1.95,0.0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,6f0914e669cda3009cb74cd776b4de66c6ad1b22,2019-06-17 16:01:17-07:00,3,127.33333333333333,1.95,0.0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,ef4e85b877942cef6aad72e6201285f5049121ef,2019-07-01 15:37:20-07:00,3,127.33333333333333,1.95,0.0
azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,ba0491bb7bec7e10ce94f068fdde14ecb86aff90,2019-09-13 04:57:48+05:18,3,127.33333333333333,1.95,0.0
