framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,e49da19fb26a3586cc65bed6123f9c4b231c027f,2016-12-16 14:05:48-08:00,0,0,0,0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,7271e1eadc87e2aef6eb673b98f2378631ba1789,2016-12-16 14:22:11-08:00,2,612.5,4.054054054054054,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,426162145cc84db19a9b6c05b71206d365e1ec52,2016-12-20 15:19:32-08:00,2,612.5,4.054054054054054,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,ab58803b171db6a95459c80914e9cc4eedc7fce1,2017-01-09 17:10:55-08:00,2,612.5,4.054054054054054,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,94bb66ab9919ce402f594328a935ec655420cf94,2017-01-09 17:17:47-08:00,2,612.5,4.054054054054054,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,0bb470ad099f9b6d91a5849cecddae559a16656f,2017-01-10 12:38:00-08:00,2,612.5,4.054054054054054,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,1dac71567337e1279fc057a09398cc8a799727da,2017-02-07 09:45:19-08:00,3,803.0,4.450704225352113,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,b0d6ec71854736ed41a214b6fdc1ce726dd0f998,2017-02-07 10:40:48-08:00,3,453.3333333333333,3.911111111111111,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,05bb09cf801e5f69dfd1df6e312a711feac61ba1,2017-02-07 11:57:14-08:00,3,453.3333333333333,3.911111111111111,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,9d713b9a4d33d752bdb737e3c3c64888bd4b1b44,2017-04-14 17:58:41-07:00,3,512.0,3.5,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,eb987c8bd678570d72073d3a9a6b177f545228bf,2017-04-14 18:23:05-07:00,3,512.0,3.5,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,3ab15f8600c66b667b59f32c886ecd02e1220677,2017-06-15 23:54:00-07:00,3,580.0,3.303030303030303,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,b903693b987cf4655cf60334eb645459b1c7c893,2017-08-29 16:39:25-07:00,2,912.5,3.2753623188405796,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,28bb56b7c5861f8d84d08810ffb2cec58995472f,2017-10-05 11:23:18-07:00,2,967.0,3.486111111111111,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,56f769560f51c76bb60fa54f82306e11fec8c9de,2017-11-17 13:40:29-08:00,2,991.0,3.472972972972973,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,afbba4fdbcc4d8fc819130e8b2ee7941fd929b5d,2017-12-12 12:37:06-08:00,2,991.0,3.472972972972973,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,ecc1741f1876d4b3adf481fcb19c8ec0b1be12c9,2018-02-09 20:44:03-08:00,2,1039.0,3.5584415584415585,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,597da455a7476562b8b80243906ebc6d8550e011,2018-02-12 19:28:11-08:00,2,1039.5,3.5714285714285716,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,fd30cf53e8f27e197c1eeb52c59a8c74a7253fcd,2018-03-04 10:32:01-08:00,2,1079.5,3.4216867469879517,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,197e0d247cdcee26106d050a54455b892fcb6a30,2018-03-26 18:54:19-07:00,2,1179.5,3.358695652173913,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,9a6aefdb9211a623e6fcf3bf96220a887db6398e,2018-06-25 12:06:40-07:00,2,1191.5,3.4130434782608696,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,7162b03743997b2e5692c7b0bad46a0ea6d90833,2018-08-01 11:59:35-07:00,2,1191.5,3.4130434782608696,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,c60db65ed607db12dda1f5a37e8635b60d694122,2018-09-25 14:32:23-07:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,239b479619585ba82d605d60d4cdcaa3a2b3a4a6,2019-06-17 13:57:09-07:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,1e33289f48913dc855f60848e35b5ce803d40fb0,2019-08-09 19:42:04+08:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,45df4d8c3348b330dbb10404fe0d42463e62061e,2019-08-14 10:38:55+08:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,6d172819df83cc2d8b6dbde17706a305f09bedae,2019-08-15 11:11:34+08:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,b19fb9e46c34855b2c1593df4fb5f25686232dfd,2019-09-13 21:33:57+05:18,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,6a02405438be2d60ff3817ac8bfa1dd7f5608969,2019-10-01 10:59:41-07:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,e1b5773ab248c9303107c0efcd6330f67258a01a,2019-10-01 10:59:59-07:00,2,1278.0,3.6736842105263157,0.0
azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,b04e78e2a99e7db864476d568405c6f4fa5d2622,2020-01-14 16:24:26+08:00,2,1285.5,3.694736842105263,0.0
