framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/app-service-java-manage-web-apps,268a5b7c8b3be52d29ef2b20c3bf9d19bf0e3fb2,2016-12-16 14:05:40-08:00,0,0,0,0
azure,Azure-Samples/app-service-java-manage-web-apps,9663b7578a724a7c2149f63063319733886ac0dc,2016-12-16 14:22:03-08:00,2,599.0,4.59375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,a92dc3840545ce408b599252a0d7e359658d471c,2016-12-20 15:19:52-08:00,2,599.0,4.59375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,8352d4dd957a4f2aec7786acd6230c55a53ea965,2017-01-09 17:10:42-08:00,2,599.0,4.59375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,8e5cf9803530e4eabee2badc227be9c6660092c8,2017-01-09 17:18:13-08:00,2,599.0,4.59375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,a330056afd90359e5ad1c4fc2482947b12bb775d,2017-01-10 12:37:52-08:00,2,599.0,4.59375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,8d6efd00c4f60e50f5dc9bce894078ac300b52f8,2017-02-07 09:45:08-08:00,3,794.3333333333334,4.742424242424242,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,a64b95ba284169a61d52f2ef20678ed6e76d5a38,2017-02-07 10:40:37-08:00,3,444.6666666666667,4.325,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,cc2a92dd824564b787b76a0186361ecf378db73f,2017-02-07 11:57:03-08:00,3,444.6666666666667,4.325,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,6e1773cfe5046b76e19f566a423476db7b8f6536,2017-04-14 17:58:24-07:00,3,503.3333333333333,3.795918367346939,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,4cbdfa38befc73aedbc8c7d679d8413e3a600f0e,2017-04-14 18:23:34-07:00,3,503.3333333333333,3.795918367346939,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,d08ffdd2adfb6ad3ea12af792daef80a3ec4dc77,2017-06-15 23:54:11-07:00,3,571.3333333333334,3.5245901639344264,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,5a93c7d66701d17880297fb38bd566187d4bf4f1,2017-08-29 16:39:11-07:00,2,899.5,3.484375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,7ba9ba9dac24d6a4f2171f0055a7e25374f03a9a,2017-09-05 12:36:34-07:00,2,899.5,3.484375,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,40630337d3beacd75259912a49a8e6b48fe61722,2017-10-05 11:23:10-07:00,2,954.0,3.701492537313433,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,666bb44f67882dd21c3af30fc35e3db9e8f649f8,2017-11-17 13:40:21-08:00,2,978.0,3.681159420289855,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,ab0c1897490ddaff348d7892e54135a14e49915f,2017-12-12 12:36:58-08:00,2,978.0,3.681159420289855,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,13a38b61970661e0a2fd05fd6052a7beee3f7f80,2018-02-09 20:43:45-08:00,2,1026.0,3.763888888888889,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,368759aff33b906fafd12aa9d22f8c0cdf4f55a5,2018-02-12 19:28:06-08:00,2,1026.5,3.7777777777777777,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,799a48ac9e66cf8578d365cc23ba48507733dc80,2018-03-04 10:31:51-08:00,2,1066.5,3.6025641025641026,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,7735e906c1e42b0bfc2c4f224a95d576071fd317,2018-03-26 18:54:13-07:00,2,1166.5,3.5172413793103448,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,4743e4015265f1af4e4907f4f9f8daad03528eae,2018-06-25 12:06:39-07:00,2,1178.5,3.574712643678161,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,554ef5b890643d0975e4bca77b347f35605a8345,2018-08-01 11:59:35-07:00,2,1178.5,3.574712643678161,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,d923cd9ade8542a140a2de46d97ee5a25acbd86e,2018-09-25 14:31:27-07:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,890fff299e95abdafe8c6f477d98645e9396b9af,2019-06-17 13:56:56-07:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,225fb6418ef7ff5eeac2b0ed3399069f6fd76ebe,2019-08-09 19:42:03+08:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,1d81be39330189422e1e9bf4ae84b15360c7211b,2019-08-14 10:38:54+08:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,0029a72e37e2f88dec822772f44a2bbb2b3e879b,2019-08-15 11:11:32+08:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,6cdf479220073738f056a00db75d7b6cc6367ac6,2019-09-13 21:40:02+05:18,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,8baab3d332de7a0de0d82c71e3cade40d2aa7a0d,2019-10-24 09:26:00-07:00,2,1265.0,3.8444444444444446,0.0
azure,Azure-Samples/app-service-java-manage-web-apps,7a448ebe52aa9b72da3328eb2a5cc439e895db37,2020-01-14 16:24:05+08:00,2,1272.5,3.8666666666666667,0.0
