framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/application-gateway-java-manage-application-gateways,42703a4a7f8e8c6b33c40bbe0408b41bf405ab53,2016-12-16 14:06:05-08:00,0,0,0,0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,b2264eaca10b6af5c31e292f12453762687a1cbb,2016-12-16 14:22:24-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,ab104c58aa79f38b127692bfa9b0d06e3e1372df,2016-12-20 15:18:56-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,7ddf9b02ce0a8d47232c27e8b7fa947519506859,2016-12-21 15:14:20-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,f217f0fb6a0bceed793189f7595b66e6ce052e0b,2017-01-09 17:11:12-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,c5a8625181b5f3aa2fe92ff517a49a22f3d5811c,2017-01-09 17:16:42-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,08745559666b26042f2b517484343abc48160384,2017-01-10 12:38:16-08:00,2,638.0,4.545454545454546,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,c395a3ec46a8eb939d33fde1bb61dcf2264f0c64,2017-02-07 09:45:41-08:00,3,819.0,4.7164179104477615,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,16879dabe7afca4bc78905e1c24b2fa5c7ccbd8b,2017-02-07 10:41:14-08:00,3,469.3333333333333,4.2926829268292686,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,b91de6af8173609d9e2fde55b8598ecd3f331549,2017-02-07 11:57:34-08:00,3,469.3333333333333,4.2926829268292686,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,3b68b3ce948443a3b3dcb78cbe7fb1e9a4b7a126,2017-04-14 17:58:03-07:00,3,528.6666666666666,3.78,0.0
azure,Azure-Samples/application-gateway-java-manage-application-gateways,8c5e6cffbdbcc80910d7500dd7d1b9ee0e398e81,2017-04-14 18:24:11-07:00,3,528.6666666666666,3.78,0.0
