framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/azure-cosmos-java-getting-started,ae35a98860c4ede4fffadbe9f25990f76bc79349,2019-10-15 02:47:16+00:00,0,0,0,0
azure,Azure-Samples/azure-cosmos-java-getting-started,cce2fee8cdce573bdda3cd60808ce89b9980843a,2019-10-14 19:47:19-07:00,0,0,0,0
azure,Azure-Samples/azure-cosmos-java-getting-started,131f38c70024b583572f235454767dfbdb9fd3ab,2019-10-14 19:47:20-07:00,0,0,0,0
azure,Azure-Samples/azure-cosmos-java-getting-started,527cdf13cc400a766b701b1a95d440238f8b4cc3,2019-10-14 19:47:21-07:00,0,0,0,0
azure,Azure-Samples/azure-cosmos-java-getting-started,9f43fce69934dd18c0c392ee539e492d9d273120,2019-10-14 19:47:22-07:00,0,0,0,0
azure,Azure-Samples/azure-cosmos-java-getting-started,5a8f96401b327cfcb6f148e0d410253850549d14,2019-10-29 14:51:21-07:00,8,44.0,1.06,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,31204d9875141ef27b32f6fb3abd1c0dd1d8edd3,2019-10-29 15:01:11-07:00,8,44.0,1.06,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,fa0df4b4e7acef21eef55e6e88d0f13682f6ce51,2019-10-29 15:03:28-07:00,8,44.0,1.06,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,5670c40c7f7ed41821a8a0c1dbe90756b0c6c316,2019-10-29 17:32:48-07:00,8,44.25,1.06,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,5fd268acff809b049efb48af8685f58b0cc950da,2019-10-29 21:49:41-07:00,8,44.625,1.06,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,9792a4e37426ec337db0eb32aa9752132e235946,2019-10-30 15:02:15-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,c003bb322fc7ea69ee256ecdbdc85b704ec831dd,2019-10-30 15:32:39-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,503cd2679c9e2567ff0bd302a0d93e052f509cab,2019-10-31 13:32:59-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,10480b633a17b059497baf666ab77593f422dd79,2019-10-31 13:55:05-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,18047f2617298353470b1b8d855cff3f0d54b00a,2019-10-31 14:29:24-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,b1286033a5e9a0c0572f7ed88d78e46035cbeb5c,2019-10-31 14:30:05-07:00,8,47.125,1.0980392156862746,0.14483990254848322
azure,Azure-Samples/azure-cosmos-java-getting-started,08c6b90ba71461283bb4681d6c65d38b1188576a,2020-02-17 18:26:58-08:00,9,64.77777777777777,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,385b25f71268261c0cb5b05621df5699bb44b451,2020-02-18 11:38:51-08:00,9,62.55555555555556,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,3aa5c2bf26b562691f0af99015a25376da37590f,2020-02-18 12:23:19-08:00,9,62.55555555555556,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,acdce67bbb73adce6f5df7fa6d7aac66e97577ab,2020-02-18 12:34:54-08:00,9,62.55555555555556,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,90b0bb49de3a43e51775295f014b02bc0d8aa4c4,2020-02-18 12:35:43-08:00,9,63.888888888888886,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,e59adf82ffea02268f83506d90ec9e82a9b21ed9,2020-02-18 12:39:43-08:00,9,63.888888888888886,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,92a97d41ab33b19bcc6a00bb7d5af84c754a3d8e,2020-02-18 12:44:38-08:00,9,63.888888888888886,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,4bd164758c219ce7471f42ac7f7044de13c37093,2020-02-18 13:29:24-08:00,9,63.888888888888886,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,6013dbbb7cc4408f52ecdcf5e1caf7310a7eee28,2020-03-10 13:44:08-07:00,9,63.666666666666664,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,918600d12e1bb92b87fb19608a9a7e364ffb0c94,2020-03-10 13:44:56-07:00,9,63.666666666666664,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,f03bcb9014b706cb2c7634d46da87b57c2328206,2020-04-29 16:19:19-07:00,9,63.666666666666664,1.4576271186440677,0.12743595917224107
azure,Azure-Samples/azure-cosmos-java-getting-started,8d73ab09795a575b53a5b70361bc69134b543c14,2020-04-29 16:43:48-07:00,9,63.666666666666664,1.4576271186440677,0.1287465800430962
azure,Azure-Samples/azure-cosmos-java-getting-started,18f0c8dfa3231a73f8c02412e3bac26345fa8729,2020-04-29 21:01:55-07:00,9,63.666666666666664,1.4576271186440677,0.1287465800430962
