framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,3642f16f11b4393d9fdc8afe0e379375f8bffbe7,2017-06-14 14:20:27-07:00,0,0,0,0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,c1ff32d785ebb04d5acada1c5b753578fd4a7353,2017-06-14 14:20:38-07:00,0,0,0,0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,b161a302374d4f270a29e65d2555776dd70e96af,2017-06-14 14:20:39-07:00,0,0,0,0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,9a06dae591ceb0ed36beb6a6e444b4d56d32ace9,2017-06-15 23:56:03-07:00,2,807.5,3.56140350877193,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,f31360e23564cf7e1f7d8c692f52fc03090f188d,2017-06-22 09:32:22-07:00,2,807.5,3.56140350877193,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,6c6078a89764c114dec021cb03b0fed168de6946,2017-08-29 17:09:47-07:00,2,892.0,3.378787878787879,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,9c5a2a947a29700cf3fa8bf8bd31c41f90420efb,2017-10-05 11:29:48-07:00,2,946.5,3.5942028985507246,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,ee654dfd2534223c5ddd6321fe652819f5079aa1,2017-11-17 13:34:54-08:00,2,970.5,3.5774647887323945,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,1e3ee51f0ebfc6013bcd129e0360eaf7cbf88334,2017-12-12 12:30:04-08:00,2,970.5,3.5774647887323945,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,bd28cd56ed0c859b13fdafbe3d88dbb839d0bf0f,2018-02-09 20:27:11-08:00,2,1018.5,3.6621621621621623,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,26a35b957b689faa98dff935019fcdb7d6296807,2018-02-12 19:21:42-08:00,2,1019.0,3.675675675675676,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,3613d8bcb5681256cfcf1257c4e34ef45e83ce2f,2018-03-04 10:24:57-08:00,2,1059.0,3.5125,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,fdeea3e07836e04b92d335f5743f06a71ed468e7,2018-03-26 18:46:42-07:00,2,1159.0,3.438202247191011,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,7e6a91a5fcab9d458c6835410237c0b8a8a06721,2018-06-25 12:00:35-07:00,2,1173.0,3.50561797752809,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,a1d7c3faf110e6c649a16c5c0498401e6b9b7948,2018-08-01 11:53:23-07:00,2,1173.0,3.50561797752809,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,65ab283a254f662269e4879e2582b94b3f1bfd4c,2018-09-25 14:15:53-07:00,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,131a4da7ec7e5354cb06948c7ff9df0d20d24829,2019-06-17 13:50:14-07:00,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,5e34debec2055bcf979191878a1076a53e91dded,2019-08-09 19:34:53+08:00,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,ff53502d6d9bce40365d1c0462021d7350939e7a,2019-08-14 10:31:39+08:00,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,f047b3dc3014952a6a9a28a39bcdcda810f5a52e,2019-08-15 11:03:56+08:00,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,b9a648e724cf79a79e5f6cfab6fa41d2f77e7437,2019-09-14 02:33:33+05:18,2,1259.5,3.7717391304347827,0.0
azure,Azure-Samples/cosmosdb-java-create-documentdb-and-configure-for-eventual-consistency,7bc01d6f98169c8cb9c43ae3b9302e7d2b50e21c,2019-10-14 17:47:58-07:00,2,1259.5,3.7717391304347827,0.0
