framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/event-grid-java-publish-consume-events,f2a2c6f1a7ddc9d65339e4bdb2f1a9572b13b72a,2018-06-01 10:27:37-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,4060a1d93037ff0e807efb845204894206f86058,2018-06-01 10:27:41-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,403fe46ef650c3e2e8f32bbe2b2b6fd0ecaa876b,2018-06-01 10:27:42-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,cc87414b5d0b59d3cefe43b1f62a4ae36cf75ab1,2018-06-01 10:27:42-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,7ed9c34f5b384889b484b10a6c22903b7a89cf30,2018-06-01 10:27:43-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,f4262a0cb687a8e03b135dce3110f4ecf14fc7ab,2018-06-01 10:27:44-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,863c57bcb16b84d2e57c6587fbd23f10e6362c32,2018-06-01 10:27:45-07:00,0,0,0,0
azure,Azure-Samples/event-grid-java-publish-consume-events,faf422e066e4b6031456472dde4fb6f1fbf4730c,2018-06-06 12:06:43-07:00,1,203.0,5.0,0.0
azure,Azure-Samples/event-grid-java-publish-consume-events,4dd94813b09148ef2fe38b9c0457c8dc9c4cb6e4,2018-06-07 13:50:35-07:00,1,203.0,5.0,0.0
azure,Azure-Samples/event-grid-java-publish-consume-events,c6714dce8c62fbcc7fb21e2c8446d2f22033ef2f,2018-06-12 00:48:32-07:00,5,67.8,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,2d7273a170c126033bdfb0276697ffc16ef8ea2e,2018-06-12 14:35:42-07:00,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,27581cb182f2c3734626347ff9c04efd132e20dc,2018-06-12 14:45:37-07:00,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,841df638165683231d7140793af0b45065d635b0,2018-06-12 16:21:45-07:00,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,11f3b1b5a4f205941211ca96dc3fdfb874f92d1e,2018-06-15 13:48:39-07:00,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,95e40be1df41575eaab9927b8db49cc43e9d8897,2018-06-15 14:04:19-07:00,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,9d802bcdcd9cc48b2a8053983e839eaf179989d6,2019-09-13 23:45:47+05:18,5,67.6,3.0,0.0003388982964679599
azure,Azure-Samples/event-grid-java-publish-consume-events,b37fc15a0867e4c3d4a22b05c95920823a8bfe90,2019-09-24 11:33:22-07:00,5,67.6,3.0,0.0003388982964679599
