framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/eventhub-java-manage-event-hub-events,4cedeb41ef3d276e8daf816edd04d34f49644d6e,2018-03-26 18:52:57-07:00,2,1156.5,3.4942528735632186,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,1880f2f314eeb927cd02e5ea9b0cd479094162c3,2018-06-25 12:05:36-07:00,2,1168.5,3.5517241379310347,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,306c99b616e5e84e0796414952ae471d19cb95cf,2018-08-01 11:58:10-07:00,2,1168.5,3.5517241379310347,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,7304d17751569d4a7570409b9eab250ae1236f68,2018-09-25 14:28:28-07:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,c56b28a57f30ee06795d9ea5bd11237b7ab7ea6e,2019-06-17 13:55:33-07:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,d3ea4f614049f428001b88476f4930a6c544feee,2019-08-09 19:40:19+08:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,32ca0d264211dccaafbb98a27fa91031a882c4e6,2019-08-14 10:37:13+08:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,d0bce5673a805e60675ab2f5c691ad29223f706e,2019-08-15 11:09:31+08:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,932f5fd74d27f998ad78dc10623c7650a55e1759,2019-09-14 02:29:58+05:18,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,7de88e4759abc17de9c7ea1cce61b56445025ab9,2019-10-15 18:55:00-07:00,2,1255.0,3.8222222222222224,0.0
azure,Azure-Samples/eventhub-java-manage-event-hub-events,f7706702c4a4e549bd9b06086387d3a0d1319447,2020-01-14 16:21:59+08:00,2,1262.5,3.8444444444444446,0.0
