framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
azure,Azure-Samples/storage-java-manage-storage-accounts,fa344a2dc28bb605656305251daede60057f331b,2016-05-17 22:06:33+00:00,0,0,0,0
azure,Azure-Samples/storage-java-manage-storage-accounts,083c2b1ee044edae230e2465376d13109a2841a6,2016-05-17 22:06:42+00:00,0,0,0,0
azure,Azure-Samples/storage-java-manage-storage-accounts,64c4d87b9985d8cbd2fc2f3b4062f4103a9bd9c5,2016-05-17 22:06:42+00:00,0,0,0,0
azure,Azure-Samples/storage-java-manage-storage-accounts,b4bf6497e5aa67805aa5c8016a5c72f6db658cfd,2016-05-17 22:06:42+00:00,0,0,0,0
azure,Azure-Samples/storage-java-manage-storage-accounts,4ae2acd9e917b58cb90cc86a983c6e3de76fcb5f,2016-06-29 16:03:43-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,61ce27be0d345f6ed334eb9645b297537d8cfb7a,2016-06-29 16:59:32-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,98515e560e55a164c60d5419503bae3de195089d,2016-06-29 17:14:50-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,d198bd00bce5f907f3e8db92510a353da75b85a2,2016-06-29 17:16:20-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,a525aaf8e97072f03eefe356a98b5797d47af803,2016-06-29 17:24:06-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,ece1fdcd03c86218cdec268da5a9d24dddbf3b35,2016-06-29 17:27:50-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,09a46d58b772364840b3a78a0219ced3db161dca,2016-06-30 09:38:56-07:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,d7b0ddc36fe4a00a6bf5fa3410459fa94a0d44aa,2016-06-30 17:09:03+00:00,2,143.5,2.75,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,26a96216e6b1b29adfdea81c0883c465d04d08d1,2016-09-29 15:41:20-07:00,2,262.0,3.875,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,0cf6310e61cd834ad5868e20332513df07fe1147,2016-10-06 18:44:26-07:00,2,262.0,3.875,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,8c4a3710fbdabb3b996d78c1e60cf7cc6c9beef1,2016-12-19 12:50:32-08:00,2,582.0,4.393939393939394,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,63ee6d956b1e3a6cc42824a54e97546ff7abef9a,2016-12-20 15:15:41-08:00,2,582.0,4.393939393939394,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,85dd6dbc958ac892a51bd492363bf4039eff1e93,2017-01-09 17:10:17-08:00,2,582.0,4.393939393939394,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,dc1f17dadb5dfe535a7a5b99b8903b792e751f87,2017-01-09 17:11:43-08:00,2,582.0,4.393939393939394,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,8ee4d7eddd0b0a884d44991e164a69052cd5214f,2017-01-10 12:37:27-08:00,2,582.0,4.393939393939394,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,f5b48811bea33e67ae451c002e78f32771b6c1ac,2017-02-07 09:44:30-08:00,3,782.6666666666666,4.641791044776119,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,cada3884dcdc98e9f36c782952b21a99500611d9,2017-02-07 10:40:08-08:00,3,433.0,4.170731707317073,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,271038367e113f9b6356e50dbba6fcbf3d43c3e8,2017-02-07 11:56:32-08:00,3,433.0,4.170731707317073,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,645e2cbc70c3c2d2d427769b81b8e2f6f1deca04,2017-04-14 17:57:12-07:00,3,492.3333333333333,3.68,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,b9a072cff928a35548999d2379e33505a92106a3,2017-04-14 18:25:45-07:00,3,492.3333333333333,3.68,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,048e9b3fda176b0625043507b111fcdf2c00e0f5,2017-06-15 23:58:34-07:00,3,560.3333333333334,3.435483870967742,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,eeee58ce1b26925217a4d6f3a696f30dd67b954d,2017-08-29 16:35:01-07:00,2,888.5,3.4307692307692306,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,cbcadcc6cc0426f40d4d39f7f1ea2e45454d2c68,2017-09-05 12:29:07-07:00,2,888.5,3.4307692307692306,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,cca6eaf9c11e3a404944cc0647f30f05ccd94dad,2017-10-05 11:21:51-07:00,2,943.0,3.6470588235294117,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,afbf5db90795d8f0b7d33207ddc98cf419c6d744,2017-11-17 13:44:45-08:00,2,967.0,3.6285714285714286,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,25b2463120624ab7514bcc706a8dfa6f9a1d3e73,2017-12-12 12:41:43-08:00,2,971.0,3.6285714285714286,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,8e77162c08fea98c92e3bb73c0fc8274414a0de4,2018-02-09 20:56:52-08:00,2,1019.0,3.712328767123288,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,1705f6fceea61954a57044db1d18945cd84547af,2018-02-12 19:32:56-08:00,2,1019.5,3.7260273972602738,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,4a24fe8af48a3d66ddae412ed2d62339553e1c75,2018-03-04 10:36:34-08:00,2,1059.5,3.5569620253164556,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,91671fdca8694238e3df778aec71f2a571ac25a9,2018-03-26 18:59:19-07:00,2,1159.5,3.477272727272727,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,57993422a049550967fb129c54ec4a3efdce94e4,2018-06-25 12:10:35-07:00,2,1171.5,3.534090909090909,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,43d64172892a038c34b831a6512869f5e1caa3f1,2018-08-01 12:03:23-07:00,2,1171.5,3.534090909090909,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,66958ed79e4787e22a37e1a076a5b0e3cc6abb1a,2018-09-25 14:40:47-07:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,fb2476297b8fdfdea7bcf509bba20dc03fe584e9,2019-06-17 14:01:01-07:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,3fa2f6c2b9a8988101329f42f7ffc6b75b7b2437,2019-08-09 19:46:14+08:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,41b7be5ae6c47051c5668a7c64e2eb9c00a90c38,2019-08-14 10:43:01+08:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,f2ece1e3f695854a9bbf2f742f9ef90a9e1418f3,2019-08-15 11:16:05+08:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,cd62a4b1d65f08339b9dcc8f3308b932cb24206e,2019-09-14 01:37:31+05:18,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,d4a998abbfa71651828574f47f08ce34801943ed,2019-10-16 11:56:36-07:00,2,1258.0,3.802197802197802,0.0
azure,Azure-Samples/storage-java-manage-storage-accounts,3fd7cbe3f63e4fe77bea7c6b44cb1aa58526308c,2020-01-14 16:29:12+08:00,2,1265.5,3.8241758241758244,0.0
