framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
aws,aws-samples/aws-transcribe-streaming-example-java,2bda9f50fc1eea7d916b5071fbcbe69c27ab1aea,2018-10-16 13:00:39-07:00,4,99.25,2.6,0.20495964959263802
aws,aws-samples/aws-transcribe-streaming-example-java,ed5871f0da5853eab455d20bc1c237f68bbe2a4c,2018-10-16 20:20:22+00:00,0,0,0,0
aws,aws-samples/aws-transcribe-streaming-example-java,53f9cf8755a023b45da7b29f8e7844fdd26980d3,2018-10-16 13:34:39-07:00,4,99.25,2.6,0.20495964959263802
aws,aws-samples/aws-transcribe-streaming-example-java,63e9e036778959611eb39c50e7aea3c8f2547d2e,2018-10-18 11:09:30-07:00,3,125.33333333333333,2.739130434782609,0.024917850891749065
aws,aws-samples/aws-transcribe-streaming-example-java,e717dbecf68ee1bfe82fad0b3845ddc5115a88fe,2018-10-19 13:08:45-07:00,3,125.33333333333333,2.739130434782609,0.030922099947929382
aws,aws-samples/aws-transcribe-streaming-example-java,e1c47139ff078a9f6e7c4c97c5ce1bbcd1293aa4,2018-10-19 13:20:27-07:00,3,125.33333333333333,2.739130434782609,0.030922099947929382
aws,aws-samples/aws-transcribe-streaming-example-java,9ae7b5808a426ffe9a5a45dd9ccb99751f4ff90c,2018-11-06 15:42:24-08:00,8,76.625,2.1458333333333335,0.1522842887789011
aws,aws-samples/aws-transcribe-streaming-example-java,98e221b99de660bd0fd533b7b23f53c49959e7e9,2018-11-08 12:43:23-08:00,8,76.875,2.1458333333333335,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,9a20cc906fb37741fe549bf4151b250914d4aada,2018-11-13 15:03:38-08:00,8,79.5,2.14,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,94dd7748658eb11506f5db03e3ee4688e0890e16,2018-11-13 15:06:46-08:00,8,79.5,2.14,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,2e6e1c07c2a0818f0ad46788c8f341d701135f55,2018-11-14 12:30:58-08:00,8,79.5,2.14,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,f8f1aeb2bd479cef6da96d9676d5b4c47ad1e978,2018-11-14 12:31:44-08:00,8,79.5,2.14,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,11829f8eb9bd5b9ea9397d48182193018c028e3a,2018-11-14 15:34:59-08:00,8,81.0,2.1372549019607843,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,3a0b71d0e379cae2d4208f34893fe5f16ebd996a,2018-11-14 15:35:40-08:00,8,81.0,2.1372549019607843,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,a84905751d248e723c1c2e8b876bc193957dacf6,2018-11-16 09:10:13-08:00,8,81.625,2.156862745098039,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,aad0a431afcc42fbee3f9c4b18baf80c3c92b9ac,2018-11-16 09:14:25-08:00,8,81.5,2.1372549019607843,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,410ebd4e5793bb86c53f049fcda38c5a68754e11,2018-11-19 11:07:43-08:00,8,81.5,2.1372549019607843,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,4cb165d36d4e70b41e15481967e91a6ddfe74f9c,2018-11-19 15:55:32-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,7c9340dfa26d88cbc07de186b3bce94bb4f84327,2018-11-19 15:55:58-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,78e2acab31092e7f50fbbb996d8fa1b999e0bcf7,2018-11-20 09:55:38-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,bdf9fb1a0c599ad447aea68e9b099255c2f88139,2018-11-20 12:58:14-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,17b2f71d70cf12c87d7e4d46548a9f802b182149,2018-12-05 21:12:24-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,e49760472d7fa47c71f21d6ce16724c8b2878539,2018-12-20 16:57:16-08:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,ebef5514d4e765c5555a251889e1926768ebaf04,2019-04-11 16:54:16-03:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,9aa2801d378d22fd9af468ed3d8e724bdec94401,2019-04-11 12:58:57-07:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,60c88e67669ef14bbcc59b5d65022e756af3ca45,2019-07-17 11:31:22+02:00,8,81.0,2.1176470588235294,0.014506637875456363
aws,aws-samples/aws-transcribe-streaming-example-java,7832fc54b0371c400499960654d010fb68dce150,2019-07-17 09:50:20-07:00,8,81.0,2.1176470588235294,0.014506637875456363
