framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
android,googlesamples/android-BasicNotifications,fca0a1e8c4eb11ec9d91c738790e70ffe54497e0,2014-09-02 11:00:29-07:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,72dd9bfe0a39dbb5fc53c840d1c8ebb2578d805b,2014-11-18 16:17:28-08:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,e8d30cd92b03cc73f3808a46daab0c1fa77c857c,2014-12-03 01:47:56-08:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,b1cf3a9140782fb0015e86a05a87a4d768ae1038,2014-12-05 15:03:54-08:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,970b9193c29a6f851e9a89b2afb9406c82fbbdaf,2014-12-08 17:48:50-08:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,d3c29f7b47a46c9b15d1c2591a41c377d9f8182f,2015-01-21 12:13:49-08:00,2,27.0,1.0
android,googlesamples/android-BasicNotifications,8083bbf496815d43faa4f87398ad36f5bd43cbd5,2015-03-30 17:43:03-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,0b48c6973b9e63e3390c586f740f9779db8a1c0d,2015-04-28 10:53:25-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,324da838deb05a2f7ea415a781db5aaa45f43e31,2015-05-21 10:04:07-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,893d342416a78392d1c14d7edc6dd084c9ca3bb2,2015-05-28 11:58:30-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,be1aab4693af8f3770b98f08cd84dd4200542168,2015-07-09 11:10:01-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,d8d48f087de9c092b8f5bbc9c1d03eff0b6bbbd6,2015-08-17 09:54:08-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,cc1e7047518d08406e4daf659783e667a41e9f36,2015-08-20 23:45:39-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,01bfe7efcfeaac3a9a33f6ff82ea9b8ae1c8a04d,2015-10-08 17:42:14-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,5df8664351f175a26a2cef5f2c855f3c6bcb2e9d,2015-11-18 09:32:58-08:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,6383c20ce7556c864464b04c37eb2751a90647d1,2016-01-11 18:25:09-08:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,464bcf98a6274a93bdfc872c1a7062127ae66576,2016-04-20 12:25:52-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,80f01cca7fd754dc50dd687e345787128c97d0a5,2016-05-18 11:37:54-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,3a3012b5ceef1505de668fce54a3a47c205e76db,2016-08-12 15:17:46-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,bf84a65f366791c754612188636aedefc27a8507,2016-12-13 09:38:53-08:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,ccb695d55b0652f9701dc0520e386053c074d3cd,2017-05-17 13:31:50-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,d12958b5bde53e4400a2e116876ed338aff85f48,2017-06-08 09:32:59-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,b9bdf4b3e6ef867defba9f53f723f2bbc52919ae,2017-10-10 17:51:18-07:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,af31cc6b64c172baa93e38889c76ec694f6657cd,2018-02-15 16:34:55-08:00,2,25.0,1.0
android,googlesamples/android-BasicNotifications,9db4d1309a2da9520e6623639fc125bc3059844c,2019-09-27 16:19:54-07:00,2,25.0,1.0
