framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
android,googlesamples/android-ConfirmCredential,1f3c4e71382096d17332aad29822dec7be9c30f8,2015-05-28 11:58:58-07:00,1,129.0,2.0,0.0
android,googlesamples/android-ConfirmCredential,a470a41a8d63d2977f46bf8a4bbdfc9574807e50,2015-08-17 09:54:29-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,56f1f7eba8f0e790eafc34109a9e8d3f46a32818,2015-08-20 23:46:00-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,cf643e64446fda30fc8f0a27dbe7e8e93e3211df,2015-10-08 17:42:37-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,255d9f71c9e0e4e4c223db37217fbbc2101b4d52,2015-10-20 10:49:28+09:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,fa355087430fc43c8acda92ecf074183b5eece65,2015-10-20 10:50:26+09:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,335e901c08f29cabea10c2ac46ee3d8766be7000,2015-11-18 09:33:23-08:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,3d975e44a71a982ccb83be1758d9f0ec1df49946,2016-01-11 18:25:47-08:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,8cf445c79beb661c97eb66e94715c933f3e50bd9,2016-04-20 12:26:17-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,e75b41bf544ddca8f40ce83a26ffb425e3129434,2016-05-18 11:38:20-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,e21bfe985de58261e2df9b045e431fb1536ff8eb,2016-08-12 15:18:19-07:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,9e58884860ed178801221829b7f39b0e5214e901,2016-12-13 09:39:26-08:00,1,134.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,60cdf6702aa684e4c288e642fc87f573426f9765,2017-05-17 13:32:31-07:00,1,135.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,c80b225c155e6ae8b78235d690dbade99cb03ff4,2017-06-08 09:33:36-07:00,1,135.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,6364dc9402f0158d3c25abe3b25f96d2d77d380f,2017-10-10 17:52:04-07:00,1,135.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,b697ab904e0141c609cd30d9c9d0d07131722810,2018-02-15 16:35:43-08:00,1,135.0,2.125,0.0
android,googlesamples/android-ConfirmCredential,aafd292eb49c8ebc8aa03394d14f9236c46244fa,2019-10-09 10:47:29-07:00,1,135.0,2.125,0.0
