framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
android,googlesamples/android-DoneBar,7779c0e92906e5e98a2881c3eb6612a53d734129,2014-09-02 11:01:04-07:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,8048fe213768ad28bc49504bd049960001a5dfa5,2014-11-18 16:18:40-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,b10be78cd8a2884c949c215ad60c2bc2899c201a,2014-12-03 01:51:19-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,92c9f30a852f9567cc3993b29a6e273435d70120,2014-12-03 04:49:59-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,8fcddbb2ce01d710eb6135a7ed89d9e94614b9de,2014-12-05 15:05:11-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,3298fbeb2531d930b88b5f79895a5b918100cb6c,2014-12-08 17:50:22-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,9dd1fe6582729a3f93c6168aee81f9c4d9299376,2015-01-21 12:14:22-08:00,4,45.25,1.1111111111111112
android,googlesamples/android-DoneBar,5179fb3d21216a4c1faed92291c1ad8d0330d42d,2015-03-30 17:43:59-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,08dd1eec60641c5b3c12c20311a2852cc22ae5be,2015-04-28 10:54:55-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,e714b7ab7cb41b209205812126dde5b90ef4bec2,2015-05-21 10:04:38-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,8d5232659f7a9730ea42d780478f6afd9f615766,2015-05-28 11:59:18-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,c144e6d3fbeecbbac5152abebbbb75a30e26113c,2015-07-09 11:10:35-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,1321587228cf7cd97229103ca3e3c7ae5e7efdad,2015-08-17 09:54:43-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,cfa0e3e7a89da20b1325b8b0526ec85de52389c0,2015-08-20 23:46:13-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,cdd2e49ab7fd8ff915ef34c2efd0ea90df602e61,2015-10-08 17:42:54-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,c665827f933ed64ea3c7d85d47a79056c573b451,2015-11-18 09:33:40-08:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,6a003eddc0127d89355565dfe9371a16abcc239c,2016-01-11 18:26:12-08:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,b75f2113e563fd702e41bf742d2687d19cc8b9de,2016-04-20 12:26:33-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,0baf5f1202d3150e5fe1ad47e5b4dacbbdfcecfa,2016-05-18 11:38:35-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,e5b5fe175ad7a10c8e86588bc7f17ab6eda9ec5b,2016-08-12 15:18:40-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,6759ffb22259312dcbdfffd1581a040d18fea9e4,2016-12-13 09:39:48-08:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,07c68ce8c9c958c85518ad84df251685be61954e,2017-05-17 13:33:02-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,2035da4258ba5333d6f4c0a5e0b36bebd5acbefa,2017-06-08 09:34:07-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,b272802b8088e0957e0ec950569cc0d308ac9e3c,2017-10-10 17:52:38-07:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,7dbd156c222e6a93ac812e2ddd691048e616d3ec,2018-02-15 16:36:15-08:00,4,44.25,1.1111111111111112
android,googlesamples/android-DoneBar,75aa9dc2d4db63956abccc0adef84415e86c67ce,2019-10-18 09:12:34-07:00,4,44.25,1.1111111111111112
