framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
android,googlesamples/android-vision,79baf307a07d1528cb5d651374aaff9b8f4e6ab7,2015-06-08 23:39:00+00:00,0,0,0
android,googlesamples/android-vision,a10d9a9559515fc9a07c852572b0cb9b9f07b47d,2015-06-10 09:31:30-07:00,4,93.0,1.5263157894736843
android,googlesamples/android-vision,8ac91032a16962e3802febdc82e98505e5f984a0,2015-06-12 09:39:58-07:00,4,93.0,1.5263157894736843
android,googlesamples/android-vision,8973ad2dc3d763316bce7bb60f1e4389646ed6ca,2015-06-17 16:45:25-04:00,7,66.28571428571429,1.511111111111111
android,googlesamples/android-vision,1d3ef768ea4f146da62c956939efccf426049aae,2015-06-19 14:12:59-04:00,7,67.0,1.5333333333333334
android,googlesamples/android-vision,6e1cfeba6a8384fa166ab4ceab9ddc4bd271dbc9,2015-06-23 16:33:08-04:00,14,66.28571428571429,1.4782608695652173
android,googlesamples/android-vision,4afba9223aba02b52f1fd0514a72a434542e8937,2015-06-26 14:10:01-04:00,14,66.71428571428571,1.5
android,googlesamples/android-vision,2f173d0041822c8d1f91f140574d7f5e9c274ddf,2015-07-01 13:25:26-07:00,14,66.71428571428571,1.5
android,googlesamples/android-vision,1aa3ab326cfba63c85306501f77c8afc7207a190,2015-07-14 11:24:10-04:00,14,67.28571428571429,1.4893617021276595
android,googlesamples/android-vision,c269483a7dec58913010409cf969024d782b7bdb,2015-06-30 12:54:22-04:00,14,66.78571428571429,1.5
android,googlesamples/android-vision,c769c73db002d21a09233edcc816e9f0be8de478,2015-07-14 17:11:40-07:00,14,67.28571428571429,1.4893617021276595
android,googlesamples/android-vision,6b45abf48ff56976224bc4732b63de4bc56e6942,2015-07-15 14:34:44-04:00,14,67.28571428571429,1.4893617021276595
android,googlesamples/android-vision,8bfc6d026a1e6eb29003e77ee08eb937febec416,2015-07-15 18:53:49+00:00,14,67.35714285714286,1.4893617021276595
android,googlesamples/android-vision,14720a12d3584918271f68bd5a27788678f9134d,2015-07-17 11:39:54-04:00,14,67.14285714285714,1.4893617021276595
android,googlesamples/android-vision,ddfa35eb086be63f0ad05d968bcef658f1361f01,2015-07-17 21:27:34+00:00,14,67.21428571428571,1.4893617021276595
android,googlesamples/android-vision,c56f7892ea39bbef258a3f09acc6911b16550270,2015-07-21 14:52:55-04:00,14,67.21428571428571,1.4893617021276595
android,googlesamples/android-vision,fa5c23fd9eba3b89768b31bc50804e7ab2d192b8,2015-08-04 10:09:31-07:00,14,67.21428571428571,1.4893617021276595
android,googlesamples/android-vision,cb9f788b77f287f7c7182c334f723ac49808bc5b,2015-08-14 11:03:35+02:00,14,67.64285714285714,1.4893617021276595
android,googlesamples/android-vision,dd7a3f8aa3ad7bf84416431c0380b829cdc741e4,2015-08-15 13:35:02+08:00,14,67.21428571428571,1.4893617021276595
android,googlesamples/android-vision,f29565e476b315b0a538e01144a99e9ac588468c,2015-08-25 12:48:50-07:00,14,67.21428571428571,1.4893617021276595
android,googlesamples/android-vision,afe35612a71b715d072ce028f75dcbb38f17f473,2015-08-25 12:50:27-07:00,14,67.64285714285714,1.4893617021276595
android,googlesamples/android-vision,6325ca8889c0a14231527c99f9be14bbbae46c9c,2015-08-25 12:57:17-07:00,14,67.64285714285714,1.4893617021276595
android,googlesamples/android-vision,3cafe1948b174d9858e641f99e75c35fb8fe5a07,2015-08-25 13:12:37-07:00,14,67.64285714285714,1.4893617021276595
android,googlesamples/android-vision,6d4d0172bc442617a939d7de6b9be81fe805489a,2015-08-25 14:51:40-07:00,14,78.92857142857143,1.5961538461538463
android,googlesamples/android-vision,726e2173a9bc28640e3286a3ac32c0cf235733bd,2015-08-26 10:30:00-07:00,14,78.92857142857143,1.5961538461538463
android,googlesamples/android-vision,812b01a51ce14eab8eebfb1a71208414e02db06b,2015-09-14 14:59:15-04:00,15,80.6,1.6216216216216217
android,googlesamples/android-vision,5ad8ac4acf349a15cad7e2daf679cd1f7b73e45e,2015-09-14 16:01:21-07:00,15,80.6,1.6216216216216217
android,googlesamples/android-vision,a16d60fbc26cc77c10a71bd969d253d67a8a42e2,2015-09-15 15:52:20-07:00,15,80.6,1.6216216216216217
android,googlesamples/android-vision,30159d1de94665be35808381554d72df4f2f1462,2015-09-15 16:19:07-07:00,15,82.4,1.6486486486486487
android,googlesamples/android-vision,3b3d8cc1fe8d035c81d2dc9875c0b62c9c0b4913,2015-09-16 09:57:46-07:00,15,81.8,1.6396396396396395
