framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
android,googlesamples/easypermissions,b3c0017d5c8683f5e2c02eae07e6bc473c4c9576,2015-12-17 17:05:15+00:00,0,0,0
android,googlesamples/easypermissions,15b6321c24d35ca7ccff4764ef586a7cdf2475d5,2015-12-17 09:07:19-08:00,3,54.333333333333336,1.9375
android,googlesamples/easypermissions,53aed9bac6eec5fbd15e2ca32c308f16b01d7237,2015-12-17 15:04:39-08:00,4,48.5,1.894736842105263
android,googlesamples/easypermissions,27bd24bf63631e041945730bf0b02f0b299b6612,2015-12-18 10:54:55-08:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,873222e4a5743c20219c67a56c235b075651b22b,2015-12-22 09:59:47-08:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,083655f7aefa95feb4f4939e2f4e5cffee20d3ad,2015-12-22 11:27:04-08:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,46ab2b51a73de70b543780f11bcc3e6970e2fb7b,2015-12-23 08:57:45+01:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,df6cd45fedfbc8833949d4b86f5d69254ebbc807,2015-12-23 11:26:52+03:18,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,7135b7faf8a58e5a5321b19cc00302129bc1ce39,2015-12-23 00:10:27-08:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,fffb1b2dbbc88c9eb4c8b612075bb7a0c7e3a49d,2015-12-24 15:50:30-06:00,3,61.666666666666664,1.9444444444444444
android,googlesamples/easypermissions,8c41fc49c8f124c304771d07c538ec75fb59cb92,2015-12-28 02:19:03+05:18,3,62.666666666666664,2.0
android,googlesamples/easypermissions,053b6af28b47cca2df4aa73d37a2abb2e23129e7,2015-12-28 07:04:14-06:00,3,62.666666666666664,2.0
android,googlesamples/easypermissions,2a918d910feec158c3cf273ecb0f6318ebdef9fb,2016-01-04 13:22:32-08:00,4,67.0,1.8888888888888888
android,googlesamples/easypermissions,33b5287257955292c4a4a146261fd1fbd3fd87de,2016-01-04 14:30:34-08:00,4,67.0,1.8888888888888888
android,googlesamples/easypermissions,73d8ae343a37837ea6de826b5283b8d8165207e1,2016-01-05 08:51:58-08:00,4,66.5,1.8888888888888888
android,googlesamples/easypermissions,f1a15b645c0d9a293df628fed1260882edde6f05,2016-01-06 11:16:23-06:00,4,66.5,1.8888888888888888
android,googlesamples/easypermissions,b26af3c73cef98f966a172d9e920b2137a802dd9,2016-01-06 09:18:12-08:00,4,66.5,1.8888888888888888
android,googlesamples/easypermissions,773a909c25893df9a6bef12f6c0469729d6385ff,2016-01-06 09:18:55-08:00,4,66.5,1.8888888888888888
android,googlesamples/easypermissions,550ef6cad18deaa1544bb6513441c3d4d365c8e3,2016-01-18 11:42:55+03:18,4,66.75,1.8888888888888888
android,googlesamples/easypermissions,55a43909aecd4b5f667521db2a31245f10c32fba,2016-01-19 09:42:49+03:18,4,69.0,1.8571428571428572
android,googlesamples/easypermissions,1c6deff571148faac99aa15d20db0fed74cf8715,2016-01-19 12:18:04-06:00,4,69.0,1.8571428571428572
android,googlesamples/easypermissions,bab9260f2cbdeecbaf7b8d5158a4933cba9db0bb,2016-01-19 10:19:09-08:00,4,69.0,1.8571428571428572
android,googlesamples/easypermissions,d3b1bd9790b5659f849432a1821902e41910fd0d,2016-01-27 13:10:20+01:00,4,69.75,1.8571428571428572
android,googlesamples/easypermissions,c5d4390ed75aeba6be2311c855f415246dd6b1ec,2016-01-27 10:56:53-06:00,4,69.75,1.8571428571428572
android,googlesamples/easypermissions,6c6037e185389aa723338f44fd40fc3a4a7b2d4d,2016-01-27 09:00:05-08:00,4,69.75,1.8571428571428572
android,googlesamples/easypermissions,53d157cc345c5da4a820d06c906aa09c335334e0,2016-02-12 08:23:53-08:00,4,69.75,1.8571428571428572
android,googlesamples/easypermissions,962b99da0a08c27fc0d6f78252a948b36d64f60c,2016-02-12 10:25:13-06:00,4,69.75,1.8571428571428572
android,googlesamples/easypermissions,15118e9e91454b7f91681d6b61ec44b4ee69e4be,2016-05-23 22:43:57+05:18,4,76.5,2.0357142857142856
android,googlesamples/easypermissions,fe0e440a99673305a2b0fb779b6a6c7c9c33241a,2016-05-23 10:30:13-07:00,4,76.5,2.0357142857142856
android,googlesamples/easypermissions,5e3efe542bbce9c62ca75b1b38bb768029aa7170,2016-06-01 23:13:03+08:00,4,87.0,2.1
android,googlesamples/easypermissions,e3a7b215d4c757a8cd608d4657de1a37d72c1608,2016-06-01 08:25:35-07:00,4,87.5,2.1
android,googlesamples/easypermissions,ee335d4a48bc28edd80ad489afa362b7f91ae638,2016-06-03 18:35:07-05:00,4,87.5,2.1
android,googlesamples/easypermissions,4f0274d5524ec8f8624cbe2654efe3e1200f29d1,2016-06-06 09:42:56-07:00,4,87.5,2.1
android,googlesamples/easypermissions,83445608de32e320889877fc641be9baf17ced41,2016-06-17 17:30:38+08:00,4,91.0,2.161290322580645
android,googlesamples/easypermissions,a65ebc93a695fccb0ba34c29a9c8f11728038c13,2016-07-07 06:48:20+07:00,4,102.5,2.1714285714285713
android,googlesamples/easypermissions,1af715a563809f962a1b74518349830ca0e1b99b,2016-07-06 16:54:57-07:00,4,103.75,2.138888888888889
android,googlesamples/easypermissions,7daca6d33221b02d22a9dd22baa28d540f4bb3c7,2016-07-12 01:03:36+05:18,4,104.0,2.1944444444444446
android,googlesamples/easypermissions,d9aba342e1a4ef1ac7508d096eaba0b69dbdaab2,2016-07-11 12:48:53-07:00,4,104.0,2.1944444444444446
android,googlesamples/easypermissions,a3626009472b3a97dd1cae22c960eb612cff9500,2016-09-08 16:42:31-07:00,5,93.4,2.022727272727273
android,googlesamples/easypermissions,61e93319ddc9aafe8d99e48d7b431d055699337b,2016-09-08 16:44:32-07:00,5,93.4,2.022727272727273
android,googlesamples/easypermissions,e2062b47ccabfeaa3d12f5818bed3dbb07c9dfc0,2016-09-08 16:45:05-07:00,5,93.4,2.022727272727273
android,googlesamples/easypermissions,42056a195e42baa99b406e0c28bf371d279cd668,2016-09-09 21:05:43+02:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,5b6d8c7b89e4fa8aeee6c82af49ed3689b060cf1,2016-09-14 15:23:51+08:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,f02dc3128e7ca2358a4cd179ecc04e905ee4ed31,2016-09-14 15:27:29+08:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,82545e4b7f513c781c67acdb9a093c80fe1aef48,2016-09-14 15:28:36+08:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,38b6aa8b5ee0f8a784288bfa1ad180f2a4965671,2016-09-14 15:29:43+08:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,1fece2ad32aba6f63dbc07f1a025a840b7d2e42e,2016-09-14 15:31:31+08:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,3046f1c03723b4c8924a0f1c9d39445491bb81b3,2016-09-14 08:09:43-07:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,e0dba22384e042260a031c6598564ebdbe71c424,2016-10-18 11:31:06-07:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,74cad929fdbe1157193c626601d5787acdea69d9,2016-10-18 11:42:03-07:00,5,93.6,2.0454545454545454
android,googlesamples/easypermissions,a5cb77f43ed2173fe6420937b02494c8f8283d2d,2016-10-21 00:08:12+08:00,8,83.875,1.95
android,googlesamples/easypermissions,a6dca8bca9555ba4210db6b296cd36c7c35d68db,2016-10-21 12:20:40-07:00,10,76.6,1.8857142857142857
android,googlesamples/easypermissions,6eb5f45132aaaa607d027d9e1465aa97da9501eb,2016-10-21 13:45:32-07:00,10,76.6,1.8857142857142857
android,googlesamples/easypermissions,f5ab8cefc9b0ab4bd4776f1e7909515ccb19c272,2016-10-25 21:58:49-07:00,10,76.6,1.8857142857142857
android,googlesamples/easypermissions,02e71e995722e6812272da58bb4c83ceade2485c,2016-12-06 16:29:11+01:00,10,77.2,1.9142857142857144
android,googlesamples/easypermissions,d1efe77c39645d9ec215b851e8680942da1cf0d8,2016-12-06 10:45:52-08:00,10,77.2,1.9142857142857144
