framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
spring,spring-guides/gs-accessing-data-neo4j,1dccd558464d83d6aed95d7eed28b13b1730dada,2013-05-02 15:20:34-05:00,6,18.5,1.4444444444444444,0.44363530469127
spring,spring-guides/gs-accessing-data-neo4j,5e9e3c66d1bdbd99d836a8e2299f51593ef45af0,2013-05-02 16:13:12-05:00,6,18.166666666666668,1.4444444444444444,0.454842813545838
spring,spring-guides/gs-accessing-data-neo4j,56a2c69e08309db765bb7cd0b671b85db2403f4b,2013-05-02 16:18:29-05:00,6,18.166666666666668,1.4444444444444444,0.454842813545838
spring,spring-guides/gs-accessing-data-neo4j,08d8b4ac921c5199adb7fca93e000c4e85b37601,2013-05-09 08:41:53-05:00,6,18.166666666666668,1.4444444444444444,0.454842813545838
spring,spring-guides/gs-accessing-data-neo4j,de2438314a55fd33495535acf8902a717d175fa6,2013-05-22 15:41:33-05:00,6,18.166666666666668,1.4444444444444444,0.454842813545838
spring,spring-guides/gs-accessing-data-neo4j,e73972f6c6ec6f11d32a3e08af4a74241602f663,2013-06-03 09:30:32+02:00,6,18.166666666666668,1.4444444444444444,0.454842813545838
spring,spring-guides/gs-accessing-data-neo4j,cc14ee77364f42f7bbed0a794b1285498e63ca85,2013-06-21 15:04:44-04:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,b0031edc1f4221f600614eb553eff3af8882d664,2013-06-21 15:37:33-04:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,aa87d961e6e00ada18866d9f728e29a0e521f933,2013-07-08 10:03:16-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,7ff26ef68ccd8d12c04d2db99c18d521ca0194ae,2013-07-08 13:06:09-07:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,12bbea9f06f7020a91a1eafd2ec933e4718dbd31,2013-07-08 14:08:26-07:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,1c463fcf43ed03a020468b119a57b6b0684cfc3d,2013-07-08 14:10:45-07:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,25f7e48c947129e19826d6b93d5a554309c3f0cb,2013-07-08 16:11:55-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,4dd3649940750429678f21027ec8971491e3459c,2013-07-09 16:03:12-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,48fc8693273deb40972aa50fde63e2d377224b87,2013-07-11 11:15:53-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,e338d127f99a42d6a1848b68326fe33c53754086,2013-07-11 16:27:19-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,94f5c93eedc0ddf22816ce09b2e44cabcf064c0a,2013-07-12 08:13:21-05:00,3,33.0,1.5,0.32133681265016395
spring,spring-guides/gs-accessing-data-neo4j,85ad5a874778ff6e13b6f7de4e3b8fe29dd7a2c1,2013-07-15 08:54:21-04:00,3,33.0,1.5,0.32133681265016395
