framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
spring,spring-guides/gs-authenticating-ldap,ecda64df67ef98b51f89736aab0f0d1f72c3d338,2013-04-24 08:42:14-07:00,0,0,0
spring,spring-guides/gs-authenticating-ldap,b1e7e75fedd179cde63e3341b7af7e4db9ba1a3e,2013-04-26 12:01:24-05:00,6,26.166666666666668,2.0833333333333335
spring,spring-guides/gs-authenticating-ldap,4b9c54a92dcabe865636627bde752c160d3c4aa1,2013-04-26 12:04:03-05:00,6,26.166666666666668,2.0833333333333335
spring,spring-guides/gs-authenticating-ldap,3acf5329b41299b0c60c08657b7560f91857b65e,2013-04-26 13:24:41-05:00,6,27.166666666666668,2.0
spring,spring-guides/gs-authenticating-ldap,bad948b5af17824f652fbec9f78db0f13d143c0d,2013-04-26 16:26:56-05:00,6,26.5,2.0833333333333335
spring,spring-guides/gs-authenticating-ldap,a2f3b6870ac8755029374454c577be03870c6411,2013-04-26 16:27:55-05:00,6,26.5,2.0833333333333335
spring,spring-guides/gs-authenticating-ldap,887e14bdd69aefcc58e763292956d13960c8bcd3,2013-04-26 16:34:09-05:00,6,26.5,2.0833333333333335
spring,spring-guides/gs-authenticating-ldap,1b05120bf1c6c0c636871ae480aedf1730556166,2013-04-26 16:59:51-05:00,12,25.75,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,575ddea6beeae5a4b3a97bea3695dbb76663edff,2013-04-29 10:07:23-05:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,548faf6aea088943f21ee56b00c0fc9ccfc4530b,2013-05-09 08:42:38-05:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,112a7099b27c6a063339208a4ef261bb085fac26,2013-05-22 15:39:29-05:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,88690b744ece0c78cb88f599fd4df506880d02cc,2013-06-03 09:30:32+02:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,4c9cbeeac4ed99c7866910b790134ccffed8e17e,2013-06-03 09:13:09-04:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,43911d3af686e4a6557d97d508d4ba289583d28c,2013-06-03 09:19:43-04:00,11,27.545454545454547,2.130434782608696
spring,spring-guides/gs-authenticating-ldap,96bd6ac486233821e1e8d9770476ae415f9e2630,2013-06-07 09:03:46-04:00,7,24.571428571428573,2.0
spring,spring-guides/gs-authenticating-ldap,dd5983e2f0fe7f560c952a04ab95015d8fd67da6,2013-06-07 09:38:08-04:00,7,24.571428571428573,2.0
spring,spring-guides/gs-authenticating-ldap,e210a196eacc9a9b48a806b1743747b5d202c0ed,2013-06-07 13:29:21-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,06b8fe9bc27ee1e05da441547867548c3ca943cd,2013-06-07 13:32:48-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,288e71ac6a7b2744fdf4c88e3f737cd5562c8e55,2013-06-07 13:33:20-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,2dbbaa7727bdee3b9b377b5ed477fd82f5261e86,2013-07-02 12:02:31-05:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,ba7a60dd1411de64d22bbf55b90daac5dcaf1e86,2013-07-05 15:38:18-05:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,090344518619206829113c40e0766f8d2fa4da92,2013-07-09 16:10:19-05:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,038e0376dbaa65d5081fa47bb32eb6fa77b690bf,2013-07-11 11:16:10-05:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,d152c0c4eb5e7cebd2854b1b55aa3fa0c5d2d168,2013-07-12 08:13:29-05:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,1697492bf166eb1e118c42af112166dbd98d2558,2013-07-15 16:29:54-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,f104c6eed0e645170ddee3561636fa73c89042a0,2013-07-17 07:12:08-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,c495f9bb750694e7540a4a58fffb29c006b9e63c,2013-07-17 07:22:29-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,0c09878f772e7d9aefacd9e2c62716788ea327fb,2013-07-18 10:41:02-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,fa6b16ba239f5d81530fa6a2f90f2bf8cafdce5b,2013-07-18 12:05:47-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,3ae9116ef948ca8714f328d7e8f5e179cc5a0382,2013-07-18 15:15:17-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,53abb053a2cb2a7140e72f1f661abdc31417314e,2013-07-18 15:38:37-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,2f8827e0909d0bf5ad4ffcf65d5c20df9b7c1ca6,2013-07-19 15:09:06-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,8eeb384c4b50d2d7c40beed3f3f200e848cf7af0,2013-07-23 16:10:56-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,8d8df0b4dff4a44afeeef977587a73693ea64f7e,2013-07-26 14:42:05-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,c22d3ee978b79770372aeebaccba4f4553b22dfe,2013-07-30 10:19:01-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,460a96b7d02043d2764c4c4bed1834b4d1716799,2013-07-31 15:42:28-04:00,4,13.5,1.0
spring,spring-guides/gs-authenticating-ldap,9391585bcca2242273276e1da8f258a0f08347b4,2013-08-01 14:31:53-04:00,4,13.5,1.0
