framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
spring,spring-guides/gs-consuming-web-service,c2dbcf7ae1137bb5efb9abd91337f48dabed6996,2014-02-18 11:52:46+01:00,0,0,0
spring,spring-guides/gs-consuming-web-service,e6de854a4ef55768d16d7bca1c67a44d37b35128,2014-02-18 12:53:28+01:00,2,39.5,1.6
spring,spring-guides/gs-consuming-web-service,a0843bbb91276970684f779dcfbf6892b6771a19,2014-02-18 13:04:50+01:00,2,39.5,1.6
spring,spring-guides/gs-consuming-web-service,fa3f76bedd60f7f633f96ce2379393a00efe6dfa,2014-02-25 09:59:22-05:00,2,39.5,1.6
spring,spring-guides/gs-consuming-web-service,7205ef6e126764f556e5526a39cd99ec3549d8d1,2014-02-25 10:35:57-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,5d138ce0180f49160952a6274c797ad1e2a8de86,2014-02-25 10:36:29-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,c4687ef803567e76f388454ce6c31e87fe2b41e3,2014-02-25 10:47:17-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,7918e5ecb68c93e25bddedd75e722cd034eb83af,2014-02-25 15:52:45-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,d69df2f663fe95269f04549f2bf02e12a72f0bb3,2014-02-25 17:22:19-05:00,3,26.333333333333332,1.6
spring,spring-guides/gs-consuming-web-service,2814a0e06611a98810d630ae83ba9cb34188be3a,2014-02-25 22:22:45-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,fbea5f98178bf75e9799eefcc1d53040170595f7,2014-03-04 15:08:35-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,0d8f5cfbb30434383fc72ab7cb3feb4085950a6d,2014-03-10 10:01:56-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,bf70387a2faf75af37e1ebde220774e76c101c22,2014-03-11 14:28:06+01:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,a1407ed0edd1468902c6db80966f6c8cb90b956f,2014-03-11 14:52:52+01:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,8c94fcabca25d7df3af71ca7ab5eb61c41a94ee7,2014-03-11 16:46:26-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,5f24c388394d7ec46348f9523465636b5b07417e,2014-03-11 16:51:31-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,040fad74a8737bbe4b7a2f0ecb15347ee9f6844d,2014-03-22 07:17:54-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,3968ee6cb6478b5b2a2c05a175b82c802c9bdd51,2014-04-01 15:11:18-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,3d67cbfc5a3ab9ccb84c96ec6a18c08e09af369a,2014-04-07 10:09:36-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,3eea7542e47805c0433c9f4d309fe58a35882ba9,2014-04-08 14:47:25+02:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,700f4c07132565d89a7f2f598013f1040276292a,2014-04-24 09:37:03-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,a00daca9bbaa6ae926f88cfe6782e2e885e59eb9,2014-05-05 10:14:08-04:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,3e0005ee18ef171ced7398d93a3d6a026bb6ccdc,2014-05-14 08:37:02-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,e423ae78284a1b6ce2384262fbc5041edb1a9640,2014-05-22 15:20:42-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,0fef1d965abe8cd1f1b16030a793917849199b5c,2014-06-10 19:16:25-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,298532514a3437eb76db70d026dd7ccc999209e7,2014-06-11 09:08:54-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,7cc1ff2598c078337a22d2bd1d34d9ec135c9982,2014-06-11 16:48:14-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,bfed3f56a47e0fcbc10613cb1cf6430d2296c95c,2014-06-24 19:55:43-04:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,4e20d1e296c68d2699ba28a12a7bb10a535d85eb,2014-06-27 22:55:20-04:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,6d86bf42eb6c7ade2b54738a6ddc3283f9738368,2014-07-08 15:41:45-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,0619b59d3047772a156d822c034b6b551959bc2b,2014-07-15 07:43:52-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,d3b093d04770d3f2b6813b913e5d9cd334d9312d,2014-07-15 07:50:12-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,008f6689b058bcabbb02fa968c84d1994ae5b54c,2014-07-15 08:02:38-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,55c3a921fec671a075393746835bcbe70eb02aca,2014-08-08 22:12:27-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,5d8178f21805a70b4416dba682396d3fba6dee05,2014-09-02 11:58:00-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,611a114e85c84d4bc977b3807bef0665e36f1de2,2014-09-05 11:13:53-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,3e1fa2855ed9bf2828ca272b74f429e8d1af562a,2014-09-08 17:20:46+10:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,53ed6c3fce47abd1594060ad913eb68bc2a013fa,2014-09-29 12:42:28-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,cbdd344ea24b659cfa11ff8577a6fa7622bb916b,2014-09-29 12:54:52-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,0d975b6c469dda13f43c25a9668afa02b5077d52,2014-09-29 14:00:23-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,54baf9676297ac63152ddc414c962a3aa7f641a6,2014-10-10 22:05:12-05:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,2dabfa9c047a3743312a24b5a9d75f8e2d1e55a3,2014-11-12 13:08:14-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,f76a9d468c1d469ce0779471e37d04ad63511519,2014-11-20 10:15:03-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,4c4221ad5329371776312c36e01bc56b86ffc849,2014-12-11 11:07:50-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,4a7e34f0ca480db79ebf26a14f375a06ca7d58d2,2015-02-18 11:07:55-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,4fb4b9e0db7f79d9fbb3a3679595c21019e5c59f,2015-02-25 09:40:02-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,9893544c8d6b8face875bc5915c085f6e9f6f1ca,2015-02-26 22:39:38-06:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,ee46720310a0a118e318cf4e8f2a0bf81011d5dc,2015-03-15 14:34:09-04:00,3,26.666666666666668,1.6
spring,spring-guides/gs-consuming-web-service,c87941b20382f40db39890454b142aa76d3ee0e9,2015-03-17 12:34:00-05:00,3,26.666666666666668,1.6
