framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
spring,spring-guides/gs-managing-transactions,b213803c405f8d0a039839a23db2d93b8ad22b75,2013-07-11 10:03:34-05:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,3ab4e22476346a97f68a6c00e1e8874fd5bdfb14,2013-07-11 10:46:43-05:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,b3fc164bf21ad29013370254c3cf13ae1c9e74c8,2013-07-12 09:27:56-07:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,e00a81243927100b80f1e06c1ae6655fac421df3,2013-07-12 11:40:43-07:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,2940c99db30caf5b0326f47ba1ce3f447f9cba78,2013-07-12 13:51:36-05:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,00dc53accf8b90d824c1c745cf7f2814113e90ab,2013-07-12 14:48:24-07:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,a9e9c0f368bac79715df0c17d96f8b55fbcb0e4b,2013-07-15 05:18:52-07:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,9a4bac1ea1d4aae9c9f16a5df98b58ac96ec0881,2013-07-15 08:31:01-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,618c18b144a67922b1b4645007066ee7b3fbd100,2013-07-15 16:30:02-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,8409b7a8eac851ba1d0007f17b27ecf9713c8b86,2013-07-17 07:12:21-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,8aac6dfe1b2aec3cade732ce494a9e1e0a92d534,2013-07-17 07:22:41-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,c60ce879aab77c06bb7d10d1d8c57f961fa85e2b,2013-07-18 10:41:18-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,748b144562d6b7a070eda555c601665517dbbebc,2013-07-18 12:05:57-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,cb6e4095a861c6dcc17e4437749a508333b810de,2013-07-18 15:15:38-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,73cbde41236d7fdcdb832cc408c8c4d963ab2fbf,2013-07-18 15:39:01-04:00,2,43.0,1.4285714285714286
spring,spring-guides/gs-managing-transactions,d36eb916c237ab7f300c1dd953439ab0b3e3fdb1,2013-07-19 16:19:45-04:00,2,43.0,1.4285714285714286
