framework,projeto,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod
spring,spring-guides/gs-multi-module,b155e5c9ecee9c64cb51782192a61cecc95a681b,2017-01-25 15:05:33+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,a002ff30195198b69a8b4b728882d4a12cecbff8,2017-01-25 15:37:36+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,478cca1ea56286be972d26ac22205b021b86c405,2017-01-25 16:04:29+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,8628e3a07bae0b2a235d9c760bae25242f15c6f2,2017-01-25 16:22:09+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,00ade5d094f5f9f8141c3ed5cefa8ece01ac9032,2017-01-25 16:26:18+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,6a321ef742939a4a7378403bab1941a94471c2ee,2017-01-25 16:29:08+00:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,df221427e122a13726d674b2c7f6edbd9c6f17fd,2017-01-25 11:48:36-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,c2f403c97e8700e458ed3c256bb797c47c3fa540,2017-01-26 12:37:49-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,86428045327e2acb2da6887f0d8caece11887775,2017-01-26 12:48:10-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,7d02837a5ea28da6892812f6473b5d5955919e6a,2017-01-30 11:38:44-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,5eeb8a6a72d50e426df9f1cae74ec1e32c8a3e67,2017-01-30 13:58:39-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,af5043b6bf3bfc758020108c218b5029e5745966,2017-01-30 23:31:45-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,e298546a39e679aba5320f6e458eee9822ce2fe4,2017-03-03 11:13:25-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,b37cbabf19217052b92eedd7b9f8e47e67d8a718,2017-03-28 08:26:51+01:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,6eca8264cdf047c289bcd068cbb52b7bb835acbf,2017-06-28 10:59:15+01:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,3920771a0e466a9f728467c13c6efb0d4f34a263,2017-04-21 09:20:31-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,65186c9367a15ae91956afba4b2f359e43f8a4c5,2017-07-26 12:23:25-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,8f683e2d36c148ff6ef3d7c9022497fe617f2981,2017-07-27 10:04:57-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,12675e128faa4c496058e7aa43c0fe90ecfbda36,2017-08-11 13:11:56-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,e131e00acf4d35c09e024d728874374c1191866d,2017-09-13 13:15:45-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,24786936979290024e66bd5232282175bb7b8eae,2017-10-17 15:42:40-05:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,b4a725a8dc9842b529d804ddb91029a27ce56685,2017-11-30 11:07:00-06:00,6,17.166666666666668,1.0
spring,spring-guides/gs-multi-module,7c7544c129fe80b758659414e96d8084bbbef743,2018-01-05 11:59:25-06:00,5,15.2,1.0
spring,spring-guides/gs-multi-module,b7ea4fa405891ffa5ccdbcdc3f580e48a7584c22,2018-01-05 11:59:43-06:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,74f29d0127578a441ae0852313d46cbdf653d40e,2018-01-05 12:04:03-06:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,7faa46cc4c72806fb6a9686cbbb842c5b506d87c,2018-01-31 09:16:26-06:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,39c8b3cb2ee7eccd310aca5265ce38d66b1af153,2018-03-01 10:30:51+00:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,6ee7170504bf57c186a05544274811ac25c7d971,2018-04-02 13:03:55-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,c5c6c4dd9f5a06d3dfc94b5326fc987aeee06923,2018-04-05 11:45:09-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,ca389030ce0c3bb72f5ef5baedab3dbece7a8351,2018-05-09 11:26:45-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,92af6d201a1948c7b0b7640d2007ee1a2536fc66,2018-06-18 16:17:01-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,a4606ee679d367df2d3bf5812cdd96e86750c8ad,2018-06-21 14:08:34-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,d23745188f1171d0dd0dae31ad89a4d4d9697d35,2018-07-03 06:39:01+01:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,4bb985744b20efc302af7e2589c982175c58d91b,2018-09-17 10:50:58-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,fb819c40b45f2ef84b5136bca5245c230685037a,2019-03-15 08:16:23-07:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,b3c407f31595b425d36c8af57ae85b89e567915e,2019-03-20 06:57:12-07:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,a4f02bfca11fd44a97daa994bfb22332b6d03246,2019-03-20 09:38:44-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,d41247082a0b5a85527a718febf8345a4102905c,2019-03-20 10:01:28-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,e4a867528c856d4c02efa1373bea50a99af2c75a,2019-04-22 10:43:30-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,fce040877ffe2d4d55e00e22805f2181839c98c3,2019-06-22 08:24:37-05:00,5,17.2,1.0
spring,spring-guides/gs-multi-module,1d226d71bc98ac4c6cf7a2809e6df19567b7bd06,2019-07-05 16:28:11+01:00,5,17.2,1.0
