framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
android,googlesamples/android-AutofillFramework,348,9,801,5,0,0,554,2,4,0,2,2,25,0,0,0,0,26,492,13054,10786
android,googlesamples/android-play-location,22,21,11,21,0,0,74,11,10,0,9,9,0,0,0,0,0,18,0,305,108
android,googlesamples/google-services,17,7,4,8,0,0,27,4,9,0,7,0,0,1,1,2,0,0,16,262,167
android,googlesamples/easypermissions,28,2,1,3,0,0,13,1,2,0,1,0,0,0,1,1,0,0,0,63,12
android,googlesamples/android-testing,61,35,37,36,0,0,168,18,21,0,20,2,1,3,0,1,0,11,0,561,167
android,googlesamples/android-Camera2Basic,4,2,2,4,0,0,24,2,5,0,2,4,0,0,0,0,0,9,0,82,26
android,googlesamples/android-credentials,17,6,3,6,0,0,30,3,5,0,4,0,0,1,0,0,0,0,0,109,38
android,googlesamples/android-EmojiCompat,3,4,2,4,0,0,14,2,4,0,2,2,0,0,0,0,0,4,0,61,22
android,googlesamples/android-instant-apps,24,16,8,22,0,0,73,8,11,0,10,6,0,1,0,0,0,8,0,276,99
android,googlesamples/android-nearby,15,8,4,8,0,0,36,4,10,0,6,0,0,0,0,0,0,0,0,144,59
android,googlesamples/android-AppUsageStatistics,6,1,1,2,0,0,16,1,2,0,1,1,0,0,0,0,0,0,0,45,15
android,googlesamples/android-custom-lint-rules,7,5,3,7,0,0,2,3,5,0,4,0,0,0,0,0,0,3,0,45,10
android,googlesamples/android-play-billing,27,9,4,6,0,0,43,4,9,0,6,0,0,0,0,0,0,46,15,282,119
android,googlesamples/android-vision,48,15,8,16,0,0,47,8,1,0,1,1,0,0,0,0,0,0,0,186,42
android,googlesamples/android-ads,26,16,10,20,0,0,84,10,11,0,12,10,0,0,0,0,0,0,1,343,155
android,googlesamples/android-SpeedTracker,12,2,1,4,0,0,22,1,3,0,1,0,0,0,0,0,0,0,0,74,29
android,googlesamples/android-BluetoothLeGatt,4,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,40,11
android,googlesamples/android-Camera2Raw,4,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,43,14
android,googlesamples/android-WifiRttScan,4,2,1,2,0,0,24,1,2,0,1,1,0,0,0,0,0,0,0,59,22
android,googlesamples/android-ActionBarCompat-ShareActionProvider,4,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,43,14
android,googlesamples/android-testdpc,135,1,1,2,0,0,89,1,1,0,1,0,3,0,0,0,0,0,0,270,37
android,googlesamples/android-PictureInPicture,5,4,2,4,0,0,38,2,4,0,2,2,0,0,0,0,0,5,0,94,28
android,googlesamples/android-ActivitySceneTransitionBasic,11,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,51,13
android,googlesamples/android-Camera2Video,3,2,2,4,0,0,24,2,5,0,2,4,0,0,0,0,0,7,0,84,31
android,googlesamples/android-Notifications,23,2,1,4,0,0,33,1,2,0,1,1,0,0,0,0,0,0,0,125,58
android,googlesamples/android-BasicAccessibility,9,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,50,17
android,googlesamples/android-XYZTouristAttractions,18,2,1,4,0,0,41,1,2,0,1,1,0,0,0,0,0,0,0,115,45
android,googlesamples/android-WearVerifyRemoteApp,2,2,1,3,0,0,20,1,2,0,1,1,0,0,0,0,0,0,0,49,17
android,googlesamples/android-WearSpeakerSample,3,2,1,2,0,0,12,1,2,0,1,1,0,0,0,0,0,0,0,38,14
android,googlesamples/android-WearHighBandwidthNetworking,1,2,1,2,0,0,14,1,2,0,1,1,0,0,0,0,0,0,0,35,11
android,googlesamples/android-WearDrawers,2,2,1,2,0,0,5,1,2,0,1,1,0,0,0,0,0,0,0,49,33
android,googlesamples/android-WearComplicationProvidersTestSuite,8,2,1,2,0,0,13,1,2,0,1,1,0,0,0,0,0,0,0,42,12
