Framework,Sample,Número de Perguntas,Número de Respostas Aceitas
Android,googlesamples/android-AccelerometerPlay,1,1
Android,googlesamples/android-ActivitySceneTransitionBasic,1,0
Android,googlesamples/android-ads,3,1
Android,googlesamples/android-AppUsageStatistics,2,0
Android,googlesamples/android-AsymmetricFingerprintDialog,1,1
Android,googlesamples/android-BasicAndroidKeyStore,3,0
Android,googlesamples/android-BasicManagedProfile,3,2
Android,googlesamples/android-BasicRenderScript,2,0
Android,googlesamples/android-BasicSyncAdapter,1,0
Android,googlesamples/android-BatchStepSensor,1,0
Android,googlesamples/android-BluetoothAdvertisements,1,1
Android,googlesamples/android-BluetoothChat,9,2
Android,googlesamples/android-BluetoothLeGatt,22,5
Android,googlesamples/android-Camera2Basic,64,25
Android,googlesamples/android-Camera2Raw,4,1
Android,googlesamples/android-Camera2Video,25,4
Android,googlesamples/android-CardEmulation,2,0
Android,googlesamples/android-CardReader,1,0
Android,googlesamples/android-credentials,5,3
Android,googlesamples/android-custom-lint-rules,1,0
Android,googlesamples/android-DirectBoot,1,0
Android,googlesamples/android-DirectorySelection,2,2
Android,googlesamples/android-DirectShare,1,0
Android,googlesamples/android-FingerprintDialog,18,5
Android,googlesamples/android-fit,9,4
Android,googlesamples/android-Geofencing,1,0
Android,googlesamples/android-HdrViewfinder,4,1
Android,googlesamples/android-instant-apps,3,3
Android,googlesamples/android-JobScheduler,1,0
Android,googlesamples/android-Lnotifications,1,0
Android,googlesamples/android-MediaBrowserService,3,1
Android,googlesamples/android-MediaEffects,1,1
Android,googlesamples/android-MediaRecorder,2,1
Android,googlesamples/android-MediaRouter,1,0
Android,googlesamples/android-MultiWindowPlayground,2,1
Android,googlesamples/android-nearby,11,2
Android,googlesamples/android-NfcProvisioning,1,0
Android,googlesamples/android-NotificationChannels,2,1
Android,googlesamples/android-PdfRendererBasic,3,2
Android,googlesamples/android-play-billing,20,5
Android,googlesamples/android-play-location,37,13
Android,googlesamples/android-play-places,14,5
Android,googlesamples/android-play-publisher-api,5,2
Android,googlesamples/android-play-safetynet,3,0
Android,googlesamples/android-RecyclerView,4,3
Android,googlesamples/android-RuntimePermissions,2,1
Android,googlesamples/android-SlidingTabsBasic,2,0
Android,googlesamples/android-SwipeRefreshLayoutBasic,1,0
Android,googlesamples/android-SynchronizedNotifications,1,0
Android,googlesamples/android-testdpc,3,1
Android,googlesamples/android-testing,11,4
Android,googlesamples/android-testing-templates,1,0
Android,googlesamples/android-vision,48,9
Android,googlesamples/android-WatchFace,1,0
Android,googlesamples/android-WclDemoSample,1,0
Android,googlesamples/android-WearCompanionLibrary,1,0
Android,googlesamples/android-WearVerifyRemoteApp,1,0
Android,googlesamples/android-WearVerifyRemoteApp,1,0
Android,googlesamples/android-WifiRttScan,1,0
Android,googlesamples/android-XYZTouristAttractions,2,2
Android,googlesamples/androidtv-Leanback,11,3
Android,googlesamples/androidtv-sample-inputs,6,2
Android,googlesamples/easypermissions,6,3
Android,googlesamples/google-services,44,20
Android,googlesamples/identity-toolkit-android,2,0
Android,googlesamples/leanback-showcase,5,2
Spring,spring-guides/getting-started-guides,1,0
Spring,spring-guides/gs-accessing-data-jpa,2,2
Spring,spring-guides/gs-accessing-data-mongodb,2,1
Spring,spring-guides/gs-accessing-data-neo4j,2,1
Spring,spring-guides/gs-accessing-data-rest,1,1
Spring,spring-guides/gs-accessing-neo4j-data-rest,1,1
Spring,spring-guides/gs-actuator-service,1,0
Spring,spring-guides/gs-async-method,1,1
Spring,spring-guides/gs-batch-processing,3,2
Spring,spring-guides/gs-consuming-web-service,2,0
Spring,spring-guides/gs-handling-form-submission,1,1
Spring,spring-guides/gs-managing-transactions,1,0
Spring,spring-guides/gs-messaging-jms,1,0
Spring,spring-guides/gs-messaging-rabbitmq,1,1
Spring,spring-guides/gs-messaging-stomp-websocket,3,1
Spring,spring-guides/gs-rest-hateoas,1,0
Spring,spring-guides/gs-rest-service,5,5
Spring,spring-guides/gs-serving-web-content,3,2
Spring,spring-guides/gs-spring-boot,6,2
Spring,spring-guides/gs-spring-boot-docker,1,0
Spring,spring-guides/gs-uploading-files,1,0
Spring,spring-guides/gs-validating-form-input,1,0
Spring,spring-guides/tut-rest,2,1
Spring,spring-guides/tut-spring-boot-oauth2,11,2
AWS,aws-samples/alexa-web-information-service-api-samples,1,1
AWS,aws-samples/aws-cognito-java-desktop-app,1,0
AWS,aws-samples/aws-cloudhsm-jce-examples,2,0
AWS,aws-samples/amazon-ecs-java-microservices,1,1
AWS,aws-samples/aws-dynamodb-examples,1,1
Azure,Azure-Samples/aad-java-manage-users-groups-and-roles,1,0
Azure,Azure-Samples/active-directory-android,5,1
Azure,Azure-Samples/active-directory-b2c-android-native-appauth,1,0
Azure,Azure-Samples/active-directory-b2c-android-native-msal,2,0
Azure,Azure-Samples/active-directory-java-webapp-openidconnect,4,1
Azure,Azure-Samples/azure-cosmos-db-cassandra-java-getting-started,1,0
Azure,Azure-Samples/azure-cosmos-db-graph-java-getting-started,3,0
Azure,Azure-Samples/azure-iot-samples-java,1,1
Azure,Azure-Samples/batch-java-manage-batch-accounts,1,1
Azure,Azure-Samples/cognitive-services-android-customvision-sample,1,0
Azure,Azure-Samples/cognitive-services-qnamaker-java,2,0
Azure,Azure-Samples/compute-java-manage-virtual-machines-in-parallel,1,0
Azure,Azure-Samples/compute-java-manage-vm,1,0
Azure,Azure-Samples/dns-java-host-and-manage-your-domains,1,1
Azure,Azure-Samples/java-functions-eventhub-cosmosdb,1,1
Azure,Azure-Samples/ms-identity-java-desktop,5,1
Azure,Azure-Samples/SpeechToText-REST,1,0
Azure,Azure-Samples/storage-blob-java-getting-started,4,3
