framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
AWS,aws-samples/alexa-top-sites-api-samples,0.0,3,3,4,2,36,5,23,6,0,0,0,0,2,8,16,11,0,11,3,7,11,0,3,1,0,7,0,311,54,208,130,122,51,0,0,0,165,186,130,56,0,0,0,0,0,8,8,9,2,0,0,3,0,0,0,0,51,22,22,23,11,2
AWS,aws-samples/alexa-web-information-service-api-samples,0.022163542253630503,14,14,15,8,140,14,98,26,0,0,0,0,10,21,44,54,0,54,33,29,54,0,19,21,1,13,0,1552,222,1002,446,662,334,0,0,0,643,776,436,340,0,0,0,0,0,32,32,36,16,0,0,15,0,0,0,1,284,129,129,133,70,7
AWS,aws-samples/amazon-athena-train-amazon-sagemaker,0.017736425727133496,207,183,220,157,1567,54,1205,254,0,0,0,0,211,100,128,1099,0,1166,978,430,1078,0,109,94,53,822,0,23996,2345,14471,5514,6805,7193,0,0,0,7143,9125,4644,4481,0,0,0,0,0,558,443,665,340,0,0,159,0,0,0,191,6227,2124,1874,2317,1365,166
AWS,aws-samples/amazon-automated-forecast,0.05902031447258196,42,42,42,39,394,29,329,15,0,0,0,0,60,12,129,208,0,214,176,74,188,0,26,36,4,122,0,3782,649,2997,1625,1513,160,0,0,0,1797,2108,1418,690,0,0,0,0,0,107,97,108,69,0,0,40,0,0,0,0,187,311,296,313,249,40
AWS,aws-samples/amazon-chime-voiceconnector-transcription,0.015564000073936768,25,25,25,18,182,18,135,25,0,0,0,0,21,10,43,71,0,73,63,58,73,0,11,15,0,47,0,1766,209,1001,543,468,558,0,0,0,568,696,460,236,0,0,0,0,0,50,50,51,26,0,0,26,0,0,0,15,875,124,124,126,83,20
AWS,aws-samples/amazon-cloud-directory-sample,0.0,1,1,1,1,10,1,8,2,0,0,0,0,4,1,4,44,0,38,34,20,35,0,5,22,0,8,0,580,102,378,116,259,137,0,0,0,156,194,95,99,0,0,0,0,0,4,4,5,1,0,0,2,0,0,0,0,36,53,53,56,44,1
AWS,aws-samples/amazon-cloudwatch-monitor-for-sap-netweaver,0.006899924599565566,37,37,41,8,343,74,237,37,0,0,0,0,9,5,8,25,0,25,20,31,25,0,0,1,0,24,0,1155,266,732,230,504,177,0,0,0,459,566,228,338,0,0,0,0,0,56,56,63,12,0,0,17,0,0,0,1,237,101,101,109,29,8
AWS,aws-samples/amazon-cognito-developer-authentication-sample,0.011227678413407001,33,33,38,21,265,22,207,31,0,0,0,0,19,28,33,86,0,91,63,13,91,0,5,12,10,64,0,2102,300,1056,451,580,746,0,0,0,611,791,428,363,0,0,0,0,0,49,49,58,27,0,0,19,0,0,0,18,680,164,164,184,97,17
AWS,aws-samples/amazon-cognito-streams-sample,0.07368332571575358,29,29,30,24,228,8,197,16,0,0,0,0,31,8,126,137,0,159,151,120,159,0,14,23,8,114,0,2827,348,1777,822,925,711,0,0,0,1047,1304,749,555,0,0,0,0,0,62,62,65,40,0,0,24,0,0,0,30,1111,219,218,228,153,31
AWS,aws-samples/amazon-comprehend-medical-fhir-integration,0.09755745515758463,28,28,28,15,744,47,656,37,0,0,0,0,16,8,28,88,0,88,80,38,88,0,0,10,0,78,0,4014,360,3468,627,2968,195,0,0,0,811,990,627,363,0,0,0,0,0,44,44,46,19,0,0,21,0,0,0,0,139,154,154,157,92,16
